field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell type]	Biological	3	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	3	0	0	0.0	0.0	0.0
characteristics[organism part]	Biological	3	0	0	0.0	0.0	0.0
characteristics[organism]	Biological	3	3	0	0.0	0.0	0.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	3	3	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	3	3	0	0.0	0.0	0.0
comment[technical replicate]	ExperimentalDesign	3	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	3	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	3	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	3	0	0.0	0.0	0.0
comment[dissociation method]	Technical	3	3	3	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	3	3	0	0.0	0.0	0.0
comment[instrument]	Technical	3	3	0	0.0	0.0	0.0
comment[label]	Technical	3	12	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	3	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	3	3	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	3	0	0	0.0	0.0	0.0
technology type	Technical	3	0	0	0.0	0.0	0.0
