"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD060381","human_annotation","inference","Biological","cell_line","ASC52telo","ASC52telo","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a specific name of an immortalized cell line, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the ""Human MSC Culture"" section and the ""Mass Spectrometric Analysis of EVs"" section confirms that EV pellets from these MSCs (ASC52telo) were analyzed by mass spectrometry.
TRUTH CHECK: The paper states ""ASC52telo cells, an hTERT immortalized human adipose derived mesenchymal stem cell line... will be referred to as MSCs from here on,"" and these MSCs were the source of the EVs analyzed by MS.
COMPLETENESS CHECK: The full set contains the only cell line used to generate the MS samples described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","Biological","cell_type","mesenchymal stem cells","mesenchymal stem cells","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value ""mesenchymal stem cells"" describes a cell lineage/type, which matches the field definition.
SOURCE CHECK: The paper explicitly states that the MS analysis was performed on EVs derived from ""ASC52telo cells,"" which are described as an ""immortalized human adipose derived mesenchymal stem cell line.""
TRUTH CHECK: The value is factually correct as the source cells for the analyzed EVs are mesenchymal stem cells.
COMPLETENESS CHECK: The full set contains this single value, which accurately describes the cell type of the source material for the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","Biological","disease","degenerative disc disease","","low","False","","False","False","False","False","False","wrong_value","TYPE CHECK: The candidate value is a disease state, which matches the field definition.
SOURCE CHECK: The value is present in the text (""DDD"" in the ""Human IVD Cell Isolation and Culture"" section), but it refers to the human IVD cells used for in vitro biological assays, not the material analyzed by mass spectrometry.
TRUTH CHECK: The MS analysis was performed on extracellular vesicles (EVs) derived from the ASC52telo cell line, not from the IVD cells of patients with degenerative disc disease.
COMPLETENESS CHECK: The full set of values is incorrect because it includes a condition (IL-1β pre-stimulation) that is a treatment, not a disease, and a disease that does not apply to the MS sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
INFERENCE: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","Biological","disease","IL-1β pre-stimulation","","low","True","","False","False","False","False","False","type_mismatch","TYPE CHECK: The candidate value is a treatment/stimulation condition, not a disease state or diagnosis.
SOURCE CHECK: The value is present in the text, but it describes a stimulation protocol applied to IVD cells in an in vitro assay, not the disease state of the biological source.
TRUTH CHECK: ""IL-1β pre-stimulation"" is an experimental treatment, not a disease.
COMPLETENESS CHECK: The full set includes ""degenerative disc disease"" (which is correct for the IVD cells), but the inclusion of a treatment as a disease is a type error.
TYPE_CORRECT: no
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
INFERENCE: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","Biological","species","9606 (Homo sapiens)","9606 (Homo sapiens)","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a species name (including its TaxID), which matches the required category.
SOURCE CHECK: The paper explicitly mentions ""human MSC line"" and specifies the use of the ""human UniProt database... (UP000005640_9606)"" for the mass spectrometry analysis.
TRUTH CHECK: The value is factually correct as 9606 is the NCBI Taxonomy ID for Homo sapiens.
COMPLETENESS CHECK: The full set of extracted values is exhaustive for the species used in the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","ExperimentalDesign","replicates","3","3","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which matches the definition for the replicates field.
SOURCE CHECK: The paper explicitly states ""EV pellets from WT, NTC and TSG-6 MSCs were collected as described above and resuspended in 100 µl PBS (n = 3)"" in the Mass Spectrometric Analysis of EVs section.
TRUTH CHECK: The value ""3"" is factually correct as it matches the reported number of biological replicates for the MS samples.
COMPLETENESS CHECK: The full set contains the single correct value reported for the biological replicates of the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","Other","collision_energy","25%","25%","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a percentage, which is a standard representation for normalized collision energy.
SOURCE CHECK: The value is explicitly stated in the ""Mass Spectrometric Analysis of EVs"" section: ""HCD collision energy was maintained at 25%"".
TRUTH CHECK: The value matches the text exactly.
COMPLETENESS CHECK: The full set contains the only collision energy value mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","Other","material_type","cell line","cell line","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value ""cell line"" belongs to the defined categories for material_type.
SOURCE CHECK: The MS experiment analyzed the proteome of extracellular vesicles (EVs) derived from the ASC52telo cell line.
TRUTH CHECK: While the MS analysis was performed on the EVs, the source material for those EVs is the ASC52telo immortalized human MSC cell line.
COMPLETENESS CHECK: The full set of extracted values includes both the source (cell line) and the specific material analyzed (extracellular vesicles), which comprehensively describes the sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","inference","Other","material_type","extracellular vesicles","cell line","low","True","","False","True","False","False","False","type_mismatch","TYPE CHECK: The candidate value ""extracellular vesicles"" describes the biological material analyzed, although it is a specific entity rather than one of the broad category labels listed in the definition.
SOURCE CHECK: The paper explicitly states ""EV proteomic contents were analyzed by mass spectrometry"" and describes the collection of MSC-derived EVs for MS analysis.
TRUTH CHECK: It is factually correct that extracellular vesicles (EVs) were the material analyzed by mass spectrometry.
COMPLETENESS CHECK: The full set of extracted values includes ""cell line"", ""extracellular vesicles"", and ""MSC-derived extracellular vesicles""; however, the MS analysis was performed specifically on the EVs, not the cell lines themselves.
TYPE_CORRECT: no
CORRECT_TYPE_NAME: biofluid
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: low
CORRECTED_VALUE: biofluid","biofluid"
"PXD060381","human_annotation","inference","Other","material_type","MSC-derived extracellular vesicles","cell line","low","True","","False","True","False","False","False","type_mismatch","TYPE CHECK: The candidate value describes the specific biological entity analyzed, but ""material_type"" requires a broad category label (e.g., ""biofluid"", ""cell line"").
SOURCE CHECK: The value is present in the text; the MS analysis was performed on ""EV pellets from WT, NTC and TSG-6 MSCs"".
TRUTH CHECK: The value is factually correct as the material analyzed, but it is not a ""material_type"" category.
COMPLETENESS CHECK: The full set includes ""cell line"" and ""extracellular vesicles"", which are the correct category labels.
TYPE_CORRECT: no
CORRECT_TYPE_NAME: material_type
VALUE_CORRECT: no
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: low
CORRECTED_VALUE: extracellular vesicles","extracellular vesicles"
