sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD051952-Sample-1	source_name	source name	PXD051952-Sample-1	derived								legacy_derivation	derived
1	PXD051952-Sample-1	organism	characteristics[organism]	Bos taurus	biological_agent	Here we develop a method to isolate the primary cilia of photoreceptor cells from bovine retinas.	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived
1	PXD051952-Sample-1	organism_part	characteristics[organism part]	retinas	biological_agent	Here we develop a method to isolate the primary cilia of photoreceptor cells from bovine retinas.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD051952-Sample-1	cell_type	characteristics[cell type]	photoreceptor cells	biological_agent	Here we develop a method to isolate the primary cilia of photoreceptor cells from bovine retinas.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD051952-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD051952-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD051952-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
1	PXD051952-Sample-1	instrument	comment[instrument]	NT=Q Exactive HF;AC=MS:1002523	runassessor				high	False	False		source_precedence:runassessor	derived
1	PXD051952-Sample-1	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
1	PXD051952-Sample-1	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived
1	PXD051952-Sample-1	factor_value	factor value[experimental design]	sample type (bovine retina primary cilia)	experimental_design_agent	isolate the primary cilia of photoreceptor cells from bovine retinas	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD051952-Sample-1	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	derived								legacy_derivation	derived
1	PXD051952-Sample-1	modification	comment[modification parameters]	NT=Gln->Trp substitution;AC=UNIMOD:1187;MT=Variable;TA=Q	derived								legacy_derivation	derived
1	PXD051952-Sample-1	modification	comment[modification parameters]	NT=aminoethylcysteine;AC=UNIMOD:472;MT=Variable;TA=S	derived								legacy_derivation	derived
1	PXD051952-Sample-1	reduction_reagent	comment[reduction reagent]	dithiothreitol	derived								legacy_derivation	derived
1	PXD051952-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
1	PXD051952-Sample-1	data_file	comment[data file]	20230207_MSC1158_bovine_retina10x_10xdiluted.raw	derived								legacy_derivation	derived
1	PXD051952-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD051952-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
2	PXD051952-Sample-2	source_name	source name	PXD051952-Sample-2	derived								legacy_derivation	derived
2	PXD051952-Sample-2	organism	characteristics[organism]	Bos taurus	biological_agent	Here we develop a method to isolate the primary cilia of photoreceptor cells from bovine retinas.	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived
2	PXD051952-Sample-2	organism_part	characteristics[organism part]	retinas	biological_agent	Here we develop a method to isolate the primary cilia of photoreceptor cells from bovine retinas.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
2	PXD051952-Sample-2	cell_type	characteristics[cell type]	photoreceptor cells	biological_agent	Here we develop a method to isolate the primary cilia of photoreceptor cells from bovine retinas.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
2	PXD051952-Sample-2	assay_name	assay name	run 2	derived								legacy_derivation	derived
2	PXD051952-Sample-2	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
2	PXD051952-Sample-2	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
2	PXD051952-Sample-2	instrument	comment[instrument]	NT=Q Exactive HF;AC=MS:1002523	runassessor				high	False	False		source_precedence:runassessor	derived
2	PXD051952-Sample-2	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
2	PXD051952-Sample-2	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived
2	PXD051952-Sample-2	factor_value	factor value[experimental design]	sample type (bovine retina primary cilia)	experimental_design_agent	isolate the primary cilia of photoreceptor cells from bovine retinas	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
2	PXD051952-Sample-2	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	derived								legacy_derivation	derived
2	PXD051952-Sample-2	modification	comment[modification parameters]	NT=Gln->Trp substitution;AC=UNIMOD:1187;MT=Variable;TA=Q	derived								legacy_derivation	derived
2	PXD051952-Sample-2	modification	comment[modification parameters]	NT=aminoethylcysteine;AC=UNIMOD:472;MT=Variable;TA=S	derived								legacy_derivation	derived
2	PXD051952-Sample-2	reduction_reagent	comment[reduction reagent]	dithiothreitol	derived								legacy_derivation	derived
2	PXD051952-Sample-2	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
2	PXD051952-Sample-2	data_file	comment[data file]	20230207_MSC1158_bovine_retina.raw	derived								legacy_derivation	derived
2	PXD051952-Sample-2	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
2	PXD051952-Sample-2	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
