"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD023959","","strict","Biological","age","8 weeks","","low","False","","False","False","False","False","","wrong_value","TYPE CHECK: The candidate value is a numeric age with a unit, which matches the definition of the age field.
SOURCE CHECK: The value ""Eight-week-old"" appears in the ""Mouse NAFLD model"" section, but this refers to the mice used for the in vivo NAFLD/liver steatosis study, not the samples analyzed by mass spectrometry.
TRUTH CHECK: The mass spectrometry experiments in this paper were performed on VPS34 derived from 293T cells (human cell line) and in vitro ubiquitination reactions, not on the 8-week-old mice.
COMPLETENESS CHECK: The full set contains only this value, which is incorrect for the MS sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD023959","","strict","Biological","cell_line","HeLa, 293T, 293FT, AML12","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value contains names of immortalized cell lines, which matches the field definition.
SOURCE CHECK: The paper mentions these cell lines, but only 293T was used for the actual MS experiments (one for the Lbpro* cleavage product analysis and one for the VPS34 ubiquitination site analysis). HeLa and AML12 were used for functional assays, screening, and liver metabolism studies, not for MS. 293FT is mentioned as a packaging cell line for lentivirus.
TRUTH CHECK: Only 293T is the correct source for the mass spectrometry samples described in the ""LC–MS/MS and label-free quantification"" section.
COMPLETENESS CHECK: The full set includes cell lines that were not analyzed by MS, making the extraction factually incorrect.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: 293T","293T"
"PXD023959","","strict","Biological","cell_type","hepatocyte","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value ""hepatocyte"" is a valid cell type.
SOURCE CHECK: The paper mentions ""mouse hepatocyte cell line AML12"", but this cell line is used for mRNA expression analysis (Supplementary Fig. 7a, b), not for the mass spectrometry experiments. The MS experiments were performed on 293T cells (for VPS34 ubiquitination sites) and in vitro reactions.
TRUTH CHECK: The value is not correct for the MS sample; the MS analysis was performed on 293T cells, not hepatocytes.
COMPLETENESS CHECK: The full set is incorrect as it identifies a cell type used in a different assay, not the MS experiment.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: epithelial cell","epithelial cell"
"PXD023959","","strict","Biological","disease","steatosis","steatosis","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""steatosis"" is a disease state, which matches the field definition.
SOURCE CHECK: The value is present in the text; the paper describes the pathogenesis of steatosis and uses a mouse model of nonalcoholic fatty liver disease (NAFLD) to study it.
TRUTH CHECK: The value is factually correct as the study specifically investigates the role of the TRABID/VPS34 axis in liver steatosis.
COMPLETENESS CHECK: The full set contains ""steatosis"", which covers the primary disease state discussed in the context of the liver metabolism experiments.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD023959","","strict","Biological","organ","liver","","low","False","","False","False","False","False","","wrong_value","TYPE CHECK: The candidate value ""liver"" is a valid organ/tissue type.
SOURCE CHECK: The paper describes a mouse model of NAFLD where liver tissues were analyzed for histology and triglyceride levels, but the actual mass spectrometry (LC-MS/MS) experiments were performed on VPS34 derived from 293T cells (human embryonic kidney cells).
TRUTH CHECK: The MS samples were derived from 293T cells, not from liver tissue.
COMPLETENESS CHECK: The full set is incorrect as it identifies the organ of a validation/disease model rather than the MS sample source.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: kidney","kidney"
"PXD023959","","strict","Biological","sex","male","male","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""male"" is a valid entry for the sex metadata field.
SOURCE CHECK: The value is explicitly stated in the ""Mouse NAFLD model"" section of the methods (""Eight-week-old male C57BL/6J mice"").
TRUTH CHECK: The value is factually correct as it describes the sex of the mice used in the liver metabolism study.
COMPLETENESS CHECK: The full set contains the only sex mentioned for the animal subjects in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD023959","","strict","Biological","species","Homo sapiens, Mus musculus","Homo sapiens, Mus musculus","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value consists of organism names, which matches the definition for the species field.
SOURCE CHECK: Both species are present in the MS context: ""Homo sapiens"" is the source of the 293T cells used for the VPS34 ubiquitination site analysis (searched against the ""Swiss-Prot Human database""), and ""Mus musculus"" is the source of the liver samples in the NAFLD model, although the MS analysis specifically focused on the human cell lines.
TRUTH CHECK: The paper uses human cell lines (HeLa, 293T) for the LC-MS/MS experiments and a mouse model for the physiological studies.
COMPLETENESS CHECK: The full set correctly identifies both species involved in the study's experimental components.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD023959","","strict","ExperimentalDesign","factor_value","UBE3C expression (with or without V5-UBE3C)","UBE3C expression (with or without V5-UBE3C) | steatosis","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes an experimental condition/variable (expression level of a protein), which is the correct category for a factor_value.
SOURCE CHECK: The value is derived from the MS experiment context; the paper describes LC-MS/MS analysis of VPS34 isolated from 293T UBE3C knockout cells transfected with Flag-VPS34, His-ubiquitin, ""together with or without V5-UBE3C"".
TRUTH CHECK: The value accurately reflects the experimental contrast used to determine ubiquitination sites on VPS34 via mass spectrometry.
COMPLETENESS CHECK: The full set of extracted values includes both the cell-based MS experiment (UBE3C expression) and the in vivo liver study (steatosis), covering the primary experimental axes of the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD023959","","strict","ExperimentalDesign","factor_value","steatosis","UBE3C expression (with or without V5-UBE3C) | steatosis","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""steatosis"" describes a disease state, which is a valid category for a factor_value.
SOURCE CHECK: The value is present in the paper text, specifically in the context of liver metabolism and the pathogenesis of steatosis.
TRUTH CHECK: The paper explicitly discusses the role of the TRABID/VPS34 axis in the pathogenesis of steatosis and uses a mouse model of nonalcoholic fatty liver disease (NAFLD) to study this.
COMPLETENESS CHECK: The full set of extracted values includes both the molecular manipulation (UBE3C expression) and the disease state (steatosis), covering the primary experimental axes described in the proteomics/MS contexts.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD023959","","strict","Technical","acquisition_method","data-dependent acquisition","data-dependent acquisition","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""data-dependent acquisition"" is a valid acquisition scheme name.
SOURCE CHECK: The paper explicitly states that the mass spectrometer was ""operated in the data-dependent mode"" for both the LTQ Orbitrap Velos and the Orbitrap Fusion Lumos experiments.
TRUTH CHECK: The value is factually correct as described in the methods section.
COMPLETENESS CHECK: The full set contains the only acquisition method mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
