"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD006856","","strict","Biological","cell_line","HAP1, HeLa","","low","False","","False","False","False","False","","wrong_value","TYPE CHECK: The candidate value contains names of immortalized cell lines, which is the correct category for this field.
SOURCE CHECK: HAP1 cells were used for the N-terminal proteomics experiment (""quantitatively assessing the Nt-acetylation status of 402 unique N termini from control and NAA80 KO1 cell lysates""), but HeLa cells were only used for an in vitro Nt-acetylation assay using immunoprecipitated NAA80, not for the MS analysis.
TRUTH CHECK: HAP1 is correct as the source of the MS sample; HeLa is incorrect as it was not the material analyzed by mass spectrometry.
COMPLETENESS CHECK: The full set includes an incorrect cell line (HeLa) and correctly identifies HAP1.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: HAP1","HAP1"
"PXD006856","","strict","Biological","cell_type","hematopoietic progenitor cell","hematopoietic progenitor cell","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""hematopoietic progenitor cell"" is a valid category for the cell_type field.
SOURCE CHECK: The paper describes ""N-terminal proteomics"" performed on ""control and NAA80 KO1 cell lysates,"" where the cells used are ""HAP1 cells."" HAP1 is a well-known human hematopoietic progenitor cell line.
TRUTH CHECK: HAP1 cells are derived from human hematopoietic progenitor cells, making this value factually correct for the MS sample.
COMPLETENESS CHECK: The full set contains the correct lineage for the HAP1 cells used in the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","Biological","disease","normal","normal","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""normal"" is a valid category for the disease field.
SOURCE CHECK: The paper describes a study using HAP1 and HeLa cells to investigate the function of NAA80; there is no mention of a disease state or pathology being studied.
TRUTH CHECK: Since the study is not a disease-focused study and uses standard cell lines for mechanistic research, ""normal"" is a correct safe default.
COMPLETENESS CHECK: The full set of extracted values consists of this single safe default, which is exhaustive for this context.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","Biological","organ","blood","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value ""blood"" is the correct category (organ/tissue) for this field.
SOURCE CHECK: The paper mentions HAP1 cells and HeLa cells; it does not mention blood as the source of the MS sample.
TRUTH CHECK: The MS experiment (""N-terminal proteomics"") was performed on lysates from HAP1 control and NAA80 KO1 cells. HAP1 is a human hematopoietic progenitor cell line (derived from blood/bone marrow), but the text does not explicitly mention ""blood"", and the primary material is a cell line.
COMPLETENESS CHECK: The full set contains only ""blood"", which is not explicitly stated or the primary description of the material.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","Biological","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper describes the use of human HAP1 cells and HeLa cells for the N-terminal proteomics experiment.
TRUTH CHECK: The text explicitly mentions ""human HAP1 cells"" and ""HeLa cells"" (a well-known human cell line), confirming the species is Homo sapiens.
COMPLETENESS CHECK: The full set contains the only species involved in the MS analysis.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","ExperimentalDesign","factor_value","NAA80 status (control, KO1, KO2)","NAA80 status (control, KO1, KO2) | normal","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes the experimental factor (NAA80 status) and its levels (control, KO1, KO2), which is the correct category for a factor_value.
SOURCE CHECK: The value is present in the text; the proteomics experiment specifically compared ""control and NAA80 KO1 cell lysates"" and mentioned ""both KO cell lines"" (KO1 and KO2).
TRUTH CHECK: The value is factually correct as the study focuses on the effect of NAA80 knockout (KO1 and KO2) versus control cells.
COMPLETENESS CHECK: The full set of extracted values covers the experimental groups (control, KO1, KO2) and the baseline state (normal).
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","ExperimentalDesign","factor_value","normal","NAA80 status (control, KO1, KO2) | normal","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""normal"" is a valid category for a factor_value, mirroring a characteristic (e.g., disease or genotype status).
SOURCE CHECK: The paper describes ""control"" cells used as the baseline for comparison against NAA80-KO cells in the proteomics experiment.
TRUTH CHECK: Per the field definitions, ""normal"", ""healthy"", and ""control"" are equivalent safe defaults when subjects are not part of a disease study or serve as the baseline.
COMPLETENESS CHECK: The full set of extracted values includes both the specific experimental groups (""control, KO1, KO2"") and the general status (""normal""), which together exhaustively cover the experimental design.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","ExperimentalDesign","fractions","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the number of fractions.
SOURCE CHECK: The paper describes ""N-terminal proteomics"" on cell lysates but does not mention any offline fractionation steps (e.g., high-pH RP or SAX).
TRUTH CHECK: Since no fractionation is mentioned, the safe default of ""1"" is correct.
COMPLETENESS CHECK: The full set contains only the safe default, which is exhaustive for this paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","ExperimentalDesign","replicates","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the replicates field.
SOURCE CHECK: The paper does not explicitly state the number of biological replicates for the N-terminal proteomics experiment.
TRUTH CHECK: According to the field definition, ""1"" is the correct value when no replication is mentioned.
COMPLETENESS CHECK: The full set contains only this value, which is the appropriate default for the described experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006856","","strict","ExperimentalDesign","technical_replicates","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct category for technical replicates.
SOURCE CHECK: The paper does not explicitly mention the number of technical replicates for the N-terminal proteomics experiment.
TRUTH CHECK: According to the safe defaults in the instructions, ""1"" is correct when the paper is silent regarding replication.
COMPLETENESS CHECK: The value ""1"" is a complete representation of the information provided (or not provided) in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
