paper_id,total_extracted,judge_n_correct,judge_n_hallucinated,judge_n_mismatch,judge_n_wrong,judge_n_incomplete,judge_n_corrected,judge_n_technical_not_in_text,judge_n_inferred,judge_accuracy,judge_accuracy_adjusted,judge_accuracy_with_inference,source,mode
PXD001856,27,22,0,3,2,0,2,0,0,0.8148,0.8148,0.8148,human_annotation,strict
PXD001856,27,20,0,3,2,0,2,0,2,0.7407,0.7407,0.8148,human_annotation,inference
PXD001856,26,25,0,0,0,1,1,0,0,0.9615,0.9615,0.9615,hamlet_raw,strict
PXD001856,26,21,0,0,0,1,1,0,4,0.8077,0.8077,0.9615,hamlet_raw,inference
PXD001856,27,24,0,2,0,1,3,0,0,0.8889,0.8889,0.8889,hamlet_harmonized,strict
PXD001856,27,19,0,1,0,1,2,1,5,0.7037,0.7407,0.8889,hamlet_harmonized,inference
PXD002619,19,10,5,2,0,2,9,0,0,0.5263,0.5263,0.5263,human_annotation,strict
PXD002619,19,11,4,2,1,0,8,0,1,0.5789,0.5789,0.6316,human_annotation,inference
PXD002619,23,21,0,0,1,1,2,0,0,0.913,0.913,0.913,hamlet_raw,strict
PXD002619,23,21,0,0,1,0,1,0,1,0.913,0.913,0.9565,hamlet_raw,inference
PXD002619,24,18,0,1,1,1,5,3,0,0.75,0.875,0.75,hamlet_harmonized,strict
PXD002619,24,18,0,2,1,0,3,2,1,0.75,0.8333,0.7917,hamlet_harmonized,inference
PXD005982,27,22,2,3,0,0,2,0,0,0.8148,0.8148,0.8148,human_annotation,strict
PXD005982,27,18,1,3,0,0,3,0,5,0.6667,0.6667,0.8519,human_annotation,inference
PXD005982,20,19,0,1,0,0,1,0,0,0.95,0.95,0.95,hamlet_raw,strict
PXD005982,20,15,0,1,0,0,1,0,4,0.75,0.75,0.95,hamlet_raw,inference
PXD005982,20,19,0,1,0,0,1,0,0,0.95,0.95,0.95,hamlet_harmonized,strict
PXD005982,20,15,0,1,0,0,1,0,4,0.75,0.75,0.95,hamlet_harmonized,inference
PXD006847,25,19,0,5,1,0,3,0,0,0.76,0.76,0.76,human_annotation,strict
PXD006847,25,17,0,5,1,0,3,0,2,0.68,0.68,0.76,human_annotation,inference
PXD006847,23,17,2,0,1,3,5,0,0,0.7391,0.7391,0.7391,hamlet_raw,strict
PXD006847,23,15,2,0,0,2,4,0,4,0.6522,0.6522,0.8261,hamlet_raw,inference
PXD006847,24,16,2,1,0,5,8,0,0,0.6667,0.6667,0.6667,hamlet_harmonized,strict
PXD006847,24,13,2,1,0,5,7,0,3,0.5417,0.5417,0.6667,hamlet_harmonized,inference
PXD012439,15,10,0,4,0,0,2,1,0,0.6667,0.7333,0.6667,human_annotation,strict
PXD012439,15,10,0,4,0,0,4,1,0,0.6667,0.7333,0.6667,human_annotation,inference
PXD012439,15,13,1,1,0,0,0,0,0,0.8667,0.8667,0.8667,hamlet_raw,strict
PXD012439,15,13,1,1,0,0,0,0,0,0.8667,0.8667,0.8667,hamlet_raw,inference
PXD012439,19,11,1,2,1,0,2,4,0,0.5789,0.7895,0.5789,hamlet_harmonized,strict
PXD012439,19,11,1,2,1,0,2,4,0,0.5789,0.7895,0.5789,hamlet_harmonized,inference
PXD013543,18,11,3,0,0,4,4,0,0,0.6111,0.6111,0.6111,human_annotation,strict
PXD013543,18,8,1,1,0,4,5,0,4,0.4444,0.4444,0.6667,human_annotation,inference
PXD013543,22,18,0,1,1,2,2,0,0,0.8182,0.8182,0.8182,hamlet_raw,strict
PXD013543,22,15,0,1,1,2,2,0,3,0.6818,0.6818,0.8182,hamlet_raw,inference
