"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD060381","human_annotation","strict","Biological","cell_line","ASC52telo","ASC52telo","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a specific name of an immortalized cell line, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the ""Human MSC Culture"" section and the ""Mass Spectrometric Analysis of EVs"" section confirms that EVs derived from these MSCs (ASC52telo) were the material analyzed by mass spectrometry.
TRUTH CHECK: The paper states ""ASC52telo cells, an hTERT immortalized human adipose derived mesenchymal stem cell line... will be referred to as MSCs from here on,"" and later describes the MS analysis of EVs from these MSCs.
COMPLETENESS CHECK: The full set contains the only cell line used to generate the samples for the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","strict","Biological","cell_type","mesenchymal stem cells","mesenchymal stem cells","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""mesenchymal stem cells"" describes a cell lineage/type, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the text; the MS analysis was performed on EVs derived from ""ASC52telo cells,"" which the paper explicitly defines as an ""immortalized human adipose derived mesenchymal stem cell line.""
TRUTH CHECK: The value is factually correct as the source of the EVs analyzed by mass spectrometry.
COMPLETENESS CHECK: The full set contains the single correct cell type associated with the MS sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","strict","Biological","disease","degenerative disc disease","","low","False","","False","False","False","False","","wrong_value","TYPE CHECK: The candidate value is a disease state, which matches the field definition.
SOURCE CHECK: The value refers to the human IVD cells isolated from patients with ""DDD"" (degenerative disc disease), but these cells were used for in vitro co-treatment assays, NOT for the mass spectrometry analysis. The MS analysis was performed on EVs derived from the ASC52telo cell line.
TRUTH CHECK: While the paper mentions DDD for the IVD cells, these cells were not the material analyzed by mass spectrometry.
COMPLETENESS CHECK: The full set of values is incorrect because it includes a disease state from an unrelated assay and a treatment condition (IL-1β).

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","strict","Biological","disease","IL-1β pre-stimulation","","low","True","factor_value","False","False","False","False","","type_mismatch","TYPE CHECK: no
SOURCE CHECK: The value ""IL-1β pre-stimulation"" refers to an experimental treatment condition applied to IVD cells, not a disease state or diagnosis.
TRUTH CHECK: The value is a treatment/stimulation, not a disease.
COMPLETENESS CHECK: The full set includes a disease (""degenerative disc disease"") and a treatment; the treatment does not belong in this field.
TYPE_CORRECT: no
CORRECT_TYPE_NAME: factor_value
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","strict","Biological","species","9606 (Homo sapiens)","9606 (Homo sapiens)","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a species identifier and name, which matches the field definition.
SOURCE CHECK: The paper explicitly mentions ""human MSC line"" and ""human UniProt database"" (UP000005640_9606) in the context of the mass spectrometry analysis of EVs.
TRUTH CHECK: The value ""9606 (Homo sapiens)"" is factually correct as the samples were derived from human cells.
COMPLETENESS CHECK: The full set contains the only species involved in the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","strict","ExperimentalDesign","replicates","3","3","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which matches the definition for the replicates field.
SOURCE CHECK: The value is present in the ""Mass Spectrometric Analysis of EVs"" section, which describes the actual MS experiment.
TRUTH CHECK: The text explicitly states that EV pellets from WT, NTC and TSG-6 MSCs were collected and ""resuspended in 100 µl PBS (n = 3)"".
COMPLETENESS CHECK: The full set of extracted values contains this single correct value, which is exhaustive for the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","strict","Other","collision_energy","25%","25%","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a percentage, which is a correct format for collision energy.
SOURCE CHECK: The value is explicitly stated in the ""Mass Spectrometric Analysis of EVs"" section (""HCD collision energy was maintained at 25%"").
TRUTH CHECK: The value matches the text exactly.
COMPLETENESS CHECK: The full set contains the only collision energy value mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","human_annotation","strict","Other","material_type","cell line","","low","False","","False","True","False","False","","wrong_value","TYPE CHECK: The candidate value ""cell line"" is a valid category for the material_type field.
SOURCE CHECK: The MS experiment analyzed extracellular vesicles (EVs) derived from the ASC52telo cell line.
TRUTH CHECK: While the source of the EVs is a cell line, the material actually analyzed by mass spectrometry was the EV pellet (biofluid/extracellular vesicles), not the cell line itself.
COMPLETENESS CHECK: The full set of extracted values includes ""extracellular vesicles"" and ""MSC-derived extracellular vesicles"", which correctly identify the MS sample; however, ""cell line"" refers to the source, not the material analyzed.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: extracellular vesicles","extracellular vesicles"
"PXD060381","human_annotation","strict","Other","material_type","extracellular vesicles","","low","True","","False","True","False","False","","type_mismatch","TYPE CHECK: The candidate value ""extracellular vesicles"" describes the biological material analyzed, although it is a specific entity rather than one of the broad category labels listed in the definition (e.g., ""biofluid"" or ""cell line"").
SOURCE CHECK: The value is explicitly mentioned in the ""Mass Spectrometric Analysis of EVs"" section, where EV pellets were collected and analyzed by MS.
TRUTH CHECK: The value is factually correct as the proteomics experiment was performed on extracellular vesicles (EVs).
COMPLETENESS CHECK: The full set of extracted values includes ""cell line"" (the source of the EVs) and ""extracellular vesicles"" (the actual material analyzed); together they cover the experimental context.

TYPE_CORRECT: no
CORRECT_TYPE_NAME: biofluid
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: biofluid","biofluid"
"PXD060381","human_annotation","strict","Other","material_type","MSC-derived extracellular vesicles","","low","True","","False","True","False","False","","type_mismatch","TYPE CHECK: The candidate value describes the specific biological material analyzed, but ""material_type"" requires a broad category label (e.g., ""biofluid"" or ""extracellular vesicles"" as a class).
SOURCE CHECK: The value is present in the text; the MS analysis was specifically performed on ""EV pellets from WT, NTC and TSG-6 MSCs"".
TRUTH CHECK: It is factually correct that the material analyzed were MSC-derived extracellular vesicles.
COMPLETENESS CHECK: The full set includes ""cell line"" (which is the source, not the MS material) and ""extracellular vesicles"" (the correct category). Together they cover the source and the material.
TYPE_CORRECT: no
CORRECT_TYPE_NAME: material_type
VALUE_CORRECT: no
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: extracellular vesicles","extracellular vesicles"
