"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD013523","Biological","disease","papillary renal cell carcinoma, healthy","papillary renal cell carcinoma, healthy","high","False","","True","True","False","TYPE CHECK: The candidate value contains disease states/diagnoses, which matches the field definition.
SOURCE CHECK: The values are explicitly mentioned in the text as the groups analyzed by mass spectrometry (""Proteome and metabolome profiles of 19 pRCC and patient-matched healthy kidney controls"").
TRUTH CHECK: The values are factually correct based on the paper.
COMPLETENESS CHECK: The full set covers both the disease group (pRCC) and the control group (healthy).
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD013523","Biological","organ","kidney","kidney","high","False","","True","True","False","TYPE CHECK: The candidate value ""kidney"" is a valid organ/tissue type.
SOURCE CHECK: The paper explicitly states that malignant and non-malignant tissues from nephrectomies (kidney removals) were used for proteome profiling.
TRUTH CHECK: The value is factually correct as the study focuses on papillary renal cell carcinoma (pRCC) and matched healthy kidney controls.
COMPLETENESS CHECK: The full set of extracted values (""kidney"") covers the biological source of the MS samples described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD013523","Biological","species","homo sapiens","homo sapiens","high","False","","True","True","False","TYPE CHECK: The candidate value ""homo sapiens"" is a species name, which matches the field definition.
SOURCE CHECK: The paper describes the analysis of tissues from 19 nephrectomies and mentions searching against the ""human proteome database UniProtKB"".
TRUTH CHECK: The samples are from human patients with papillary renal cell carcinoma.
COMPLETENESS CHECK: The full set contains the only relevant species for this experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD013523","ExperimentalDesign","factor_value","condition (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney tissue)","condition (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney tissue) | papillary renal cell carcinoma, healthy","high","False","","True","True","False","TYPE CHECK: The candidate value describes the experimental conditions/groups, which is the correct category for a factor_value.
SOURCE CHECK: The values (pRCC type I, II, IIM, and healthy kidney tissue) are explicitly mentioned in the results and methods sections as the groups analyzed by mass spectrometry.
TRUTH CHECK: The values are factually correct based on the paper's description of the 19 nephrectomies and matched controls.
COMPLETENESS CHECK: The full set of extracted values covers the disease states and the specific subtypes of pRCC described in the study.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD013523","ExperimentalDesign","factor_value","papillary renal cell carcinoma, healthy","condition (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney tissue) | papillary renal cell carcinoma, healthy","high","False","","True","True","False","TYPE CHECK: The candidate value describes the disease states/conditions being compared, which is the correct category for factor_value.
SOURCE CHECK: The values are present in the text; the study compares papillary renal cell carcinoma (pRCC) samples and matched healthy kidney controls.
TRUTH CHECK: The values are factually correct based on the paper's experimental design.
COMPLETENESS CHECK: The full set of extracted values includes both the candidate and a more detailed list (pRCC type I, II, IIM, and healthy), which together exhaustively cover the conditions described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD013523","ExperimentalDesign","fractions","1","","low","False","","False","False","False","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the number of fractions.
SOURCE CHECK: The paper explicitly mentions that samples were fractionated by strong cation exchange (SCX) chromatography in section 4.4.
TRUTH CHECK: The candidate value ""1"" is factually incorrect because the text states ""each sample was fractionated by strong cation exchange (SCX) chromatography,"" implying multiple fractions were generated.
COMPLETENESS CHECK: The full set contains only ""1"", which fails to capture the fractionation described in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD013523","ExperimentalDesign","replicates","38","","low","False","","False","False","True","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the replicates field.
SOURCE CHECK: The value ""38"" is not explicitly mentioned as the number of biological replicates in the text.
TRUTH CHECK: The paper describes 19 pRCC samples and 19 patient-matched healthy kidney controls (total 38 samples). However, ""replicates"" refers to the number of biological replicates *per condition/group*, not the total number of samples in the study. The study uses a case-control design with 19 pairs; it does not describe a replication factor of 38.
COMPLETENESS CHECK: The value is factually incorrect as it confuses total sample count with biological replicates.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD013523","ExperimentalDesign","technical_replicates","1","1","high","False","","True","True","False","TYPE CHECK: The candidate value is a numeric count, which is the correct category for technical replicates.
SOURCE CHECK: The paper does not explicitly mention the number of technical replicates for the proteomics experiment.
TRUTH CHECK: According to the ""SAFE DEFAULTS"" rule, ""1"" is correct when the paper is silent regarding replicates.
COMPLETENESS CHECK: The full set contains the safe default value, which is sufficient when no other information is provided.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD013523","Technical","acquisition_method","data-dependent acquisition","data-dependent acquisition","high","False","","True","True","False","TYPE CHECK: The candidate value ""data-dependent acquisition"" is a valid MS acquisition scheme.
SOURCE CHECK: The paper explicitly mentions ""16 data-dependent MS/MS scans"" in the LC-MS Instrument Settings section.
TRUTH CHECK: The value is factually correct as the paper describes a data-dependent acquisition (DDA) workflow.
COMPLETENESS CHECK: The full set contains the only acquisition method described for the proteome profiling.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD013523","Technical","fragment_mass_tolerance","17 ppm","","low","False","","False","False","True","TYPE CHECK: The candidate value is a mass tolerance value, which is the correct category for this field.
SOURCE CHECK: The value ""17 ppm"" is not present in the provided paper text.
TRUTH CHECK: The paper explicitly states a fragment ion mass tolerance of ""20 ppm"" in section 4.5.
COMPLETENESS CHECK: The full set of extracted values is incorrect and does not reflect the value stated in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: 20 ppm","20 ppm"
