"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD009584","BiologicalAgent","species","Carya cathayensis","Carya cathayensis","high","False","","True","True","False","TYPE CHECK:        The candidate value is a scientific name of an organism, which matches the species field definition.
SOURCE CHECK:      The value ""Carya cathayensis"" is explicitly mentioned in the title and methods section.
TRUTH CHECK:       The value is factually correct as the source organism for the study.
COMPLETENESS CHECK: The full set contains the only species studied in this experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD009584","BiologicalAgent","organ","graft unions","graft unions","high","False","","True","True","False","TYPE CHECK: The candidate value ""graft unions"" refers to the specific anatomical site/tissue from which the samples were collected.
SOURCE CHECK: The text explicitly states, ""Plant samples were collected from the graft unions, including the cutting surfaces of the rootstocks... and scions.""
TRUTH CHECK: The value is factually correct as it describes the origin of the protein samples.
COMPLETENESS CHECK: The full set contains ""graft unions"", which accurately captures the source material described in the methods.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD009584","BiologicalAgent","material_type","rootstocks and scions","","low","True","","False","False","False","TYPE CHECK:        The candidate value ""rootstocks and scions"" describes specific plant parts, but it does not belong to the defined broad material classes (e.g., ""tissue"", ""cell line"", ""biofluid"").
SOURCE CHECK:      The values are present in the text (""cutting surfaces of the rootstocks... and scions"").
TRUTH CHECK:       While the text mentions rootstocks and scions, these are specific anatomical parts, not the broad ""material_type"" category required by the definition.
COMPLETENESS CHECK:The full set contains only this value, which is a specific entity rather than a broad material class.
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: material_type
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   NONE","tissue"
"PXD009584","BiologicalAgent","age","rootstocks (2 years old) and scions (1 year old)","rootstocks (2 years old) and scions (1 year old)","high","False","","True","True","False","TYPE CHECK:        The candidate value describes the age of the plant components, which fits the definition of age/developmental time point.
SOURCE CHECK:      The text explicitly states ""cutting surfaces of the rootstocks (2 years old) and scions (1 year old)"".
TRUTH CHECK:       The value accurately reflects the ages provided in the methods section.
COMPLETENESS CHECK: The full set of extracted values captures all age information mentioned for the plant materials.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD009584","TechnicalAgent","instrument","Q Exactive Plus","Q Exactive Plus","high","False","","True","True","False","TYPE CHECK:        The candidate value is a mass spectrometer model, which matches the field definition.
SOURCE CHECK:      The text explicitly mentions ""Q Exactive™ plus hybrid quadrupole-Orbitrap MS"".
TRUTH CHECK:       The value is factually correct based on the provided text.
COMPLETENESS CHECK: The full set contains the only instrument mentioned in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD009584","TechnicalAgent","label","6-plex TMT kit","6-plex TMT kit","high","False","","True","True","False","TYPE CHECK:        The candidate value refers to a TMT labeling kit, which fits the category of isobaric labeling methods.
SOURCE CHECK:      The text explicitly mentions ""processed by 6-plex TMT kit according to the manufacturer’s instructions"".
TRUTH CHECK:       The value is factually correct as described in the methods section.
COMPLETENESS CHECK: The full set contains the specific labeling method used in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD009584","ExperimentalDesignAgent","replicates","graft unions at 0 d and 7 d after grafting","","low","True","","False","False","False","TYPE CHECK:        The candidate value is a description of sample groups/time points, not a numeric count of biological replicates.
SOURCE CHECK:      The text mentions samples from graft unions at 0 d and 7 d, but this describes the experimental design, not the number of replicates.
TRUTH CHECK:       The value is factually a description of the samples, but it is not a ""number of biological replicates"".
COMPLETENESS CHECK: The full set contains ""2"", but the paper does not explicitly state the number of biological replicates per group; it only mentions two time points.

TYPE_CORRECT:      no
CORRECT_TYPE_NAME: replicates
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD009584","ExperimentalDesignAgent","replicates","2","","low","False","","False","False","True","TYPE CHECK:        The candidate value ""2"" is a numeric count, which is the correct category for the replicates field.
SOURCE CHECK:      The paper does not explicitly state the number of biological replicates used for each condition; it only mentions two time points (0 d and 7 d).
TRUTH CHECK:       The value ""2"" appears to be a misinterpretation of the two experimental time points (0 d and 7 d) rather than a count of biological replicates per group.
COMPLETENESS CHECK:    The full set of extracted values includes a description of the time points and the number 2, but neither represents a confirmed biological replicate count.

TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      yes
VERDICT:           low
CORRECTED_VALUE:   1",""
"PXD009584","ExperimentalDesignAgent","experimental_design","comparison of two grafting stages (0 d vs 7 d after grafting)","comparison of two grafting stages (0 d vs 7 d after grafting)","high","False","","True","True","False","TYPE CHECK:        The candidate value describes the study design (comparing two time points/stages), which fits the definition of experimental_design.
SOURCE CHECK:      The text explicitly mentions ""Comparison of two grafting stages of Chinese hickory"" and ""at 7 d after grafting as compared with the control (0 d after grafting)"".
TRUTH CHECK:       The value accurately reflects the experimental setup described in the paper.
COMPLETENESS CHECK: The full set contains the single correct description of the study design used for the quantitative profiling.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD009584","ExperimentalDesignAgent","factor_value","grafting stage (0 d, 7 d)","grafting stage (0 d, 7 d)","high","False","","True","True","False","TYPE CHECK:        The candidate value describes the experimental variable (grafting stage) and its specific levels (0 d, 7 d), which fits the definition of a factor_value.
SOURCE CHECK:      The paper explicitly mentions comparing ""two grafting stages"" and specifies ""7 d after grafting as compared with the control (0 d after grafting)"".
TRUTH CHECK:       The value is factually correct based on the experimental design described in the results and methods sections.
COMPLETENESS CHECK: The full set of extracted values captures the primary experimental variable and the time points used for comparison.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD009584","ExperimentalDesignAgent","fractions","1","1","high","False","","True","True","False","TYPE CHECK:        The candidate value is a numeric count, which matches the definition for the number of fractions.
SOURCE CHECK:      The paper does not mention any offline peptide or protein fractionation (e.g., high-pH RP or SAX) prior to LC-MS/MS; therefore, the safe default of ""1"" applies.
TRUTH CHECK:       Correct, as no fractionation was described.
COMPLETENESS CHECK: The full set contains the correct default value for a non-fractionated experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD009584","ExperimentalDesignAgent","number_of_samples","2","2","high","False","","True","True","False","TYPE CHECK:        The candidate value is a numeric count, which matches the definition for number_of_samples.
SOURCE CHECK:      The paper describes a comparison between two grafting stages: ""7 d after grafting"" and ""the control (0 d after grafting)"".
TRUTH CHECK:       The study compares two distinct time points/conditions (D0 and D7), implying two primary sample groups were processed.
COMPLETENESS CHECK:The full set contains only this value, which accurately reflects the two experimental conditions described.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
