"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD029574","","strict","Biological","cell_line","HeLa, FreeStyle 293-F, HepG2","HeLa, FreeStyle 293-F, HepG2","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value contains names of immortalized cell lines, which matches the field definition.
SOURCE CHECK: The paper describes multiple MS experiments: 1) A TMT-based proteomic analysis of HeLa nuclear extract fractions, 2) A proteomic analysis of METTL5-binding proteins using FreeStyle 293-F cells, and 3) LC-MS/MS analysis of RNA fragments from HeLa and HepG2 cells (though the latter is nucleoside analysis, not protein proteomics, the prompt asks for the source of the MS sample).
TRUTH CHECK: All three cell lines were used as sources for material analyzed by mass spectrometry.
COMPLETENESS CHECK: The full set covers all cell lines used for MS analysis described in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Biological","cell_type","epithelial cell","epithelial cell","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""epithelial cell"" is a correct category for the cell_type field.
SOURCE CHECK: The value is inferable from the use of HeLa cells, which were used for the ""METTL5 binding partner ID"" proteomics experiment (FLAG-M2 beads, trypsin digestion, Q Exactive MS).
TRUTH CHECK: HeLa cells are a well-established epithelial cell line (cervical adenocarcinoma).
COMPLETENESS CHECK: The full set contains only this value; however, the paper also describes a proteomics experiment using FreeStyle 293-F cells (which are also epithelial/embryonic kidney), but ""epithelial cell"" generally covers the lineage of the primary cell lines used for MS in this study.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Biological","disease","cervical adenocarcinoma","cervical adenocarcinoma","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a disease/diagnosis, which matches the field definition.
SOURCE CHECK: The value is inferable from the use of HeLa cells, which were used for the ""METTL5 binding partner ID"" proteomics experiment (lysed and analyzed by MS).
TRUTH CHECK: HeLa cells are derived from cervical adenocarcinoma; this is standard domain knowledge as permitted by the field definition.
COMPLETENESS CHECK: The full set contains only this value, and it correctly describes the disease origin of the primary cell line used in the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Biological","organ","cervix","cervix","medium","False","","True","False","False","False","","incomplete","TYPE CHECK: The candidate value ""cervix"" is a valid organ/tissue type.
SOURCE CHECK: The value is inferable from the use of HeLa cells, which were used for the ""METTL5 binding partner ID"" proteomics experiment (lysed, digested, and analyzed by MS).
TRUTH CHECK: HeLa cells are derived from the cervix (cervical adenocarcinoma), making this a correct inference.
COMPLETENESS CHECK: The full set contains only ""cervix"", but the paper also describes a ""TMT11 proteomic analysis"" using HeLa nuclear extract and a ""METTL5 binding partner ID"" experiment using FreeStyle 293-F cells (derived from kidney). The set is incomplete as it misses the kidney origin of the 293-F cells.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: cervix, kidney","cervix, kidney"
"PXD029574","","strict","Biological","species","Homo sapiens, Mus musculus","Homo sapiens, Mus musculus","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value contains organism names, which matches the definition for the species field.
SOURCE CHECK: Both human (HeLa, HepG2, FreeStyle 293-F cells) and mouse (Mettl5 knockout mice) materials were analyzed by mass spectrometry (LC-MS/MS for nucleoside quantification and proteomics for binding partner ID).
TRUTH CHECK: The paper explicitly describes experiments using human cell lines and mouse models, both of which were analyzed via MS.
COMPLETENESS CHECK: The full set covers all species used in the MS experiments described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","ExperimentalDesign","factor_value","fraction (1-11)","fraction (1-11) | cervical adenocarcinoma","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes a sample grouping/variable (fractions), which is a correct category for a factor_value.
SOURCE CHECK: The value comes from the ""TMT11 proteomic analysis of biochemically active fractions"" section, where HeLa nuclear extract was fractionated into 11 fractions and analyzed by MS.
TRUTH CHECK: The paper explicitly states ""HeLa nuclear extract was fractionated into 11 fractions,"" making ""fraction (1-11)"" a factually correct description of the experimental factor for that specific MS experiment.
COMPLETENESS CHECK: The full set includes ""fraction (1-11)"" and ""cervical adenocarcinoma"" (the disease associated with HeLa). Together, these cover the factors for the different MS experiments described (the TMT11 fractionation and the general HeLa-based proteomics).

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","ExperimentalDesign","factor_value","cervical adenocarcinoma","fraction (1-11) | cervical adenocarcinoma","medium","False","","True","False","False","False","","incomplete","TYPE CHECK: The candidate value is a disease state, which is a valid category for a factor_value.
SOURCE CHECK: The value is not present in the text; it is an inference from the use of HeLa cells.
TRUTH CHECK: While HeLa cells are derived from cervical adenocarcinoma, the field definitions for factor_value (and the underlying disease field) state that such an inference is standard domain knowledge and therefore correct.
COMPLETENESS CHECK: The full set of extracted values includes ""fraction (1-11)"" and ""cervical adenocarcinoma"", but it misses the primary experimental factors of the study, such as the METTL5 knockout status (WT vs KO) in HeLa, HepG2, and mice.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: [""fraction (1-11)"", ""cervical adenocarcinoma"", ""METTL5-WT"", ""METTL5-KO""]","fraction (1-11), cervical adenocarcinoma, METTL5-WT, METTL5-KO"
"PXD029574","","strict","ExperimentalDesign","fractions","11","11","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which matches the definition for the number of fractions.
SOURCE CHECK: The value comes from the ""TMT11 proteomic analysis of biochemically active fractions"" section, where it states ""HeLa nuclear extract was fractionated into 11 fractions"".
TRUTH CHECK: The paper explicitly states that the HeLa nuclear extract was fractionated into 11 fractions for the TMT-based proteomic analysis.
COMPLETENESS CHECK: The full set contains the single value ""11"", which accurately reflects the fractionation described for the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","ExperimentalDesign","replicates","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the replicates field.
SOURCE CHECK: The paper describes multiple distinct proteomics/MS experiments (a TMT-based biochemical screen and a FLAG-METTL5 binding partner ID experiment); for the latter, the text does not explicitly state the number of biological replicates.
TRUTH CHECK: Since the paper is silent on the number of biological replicates for the proteomics experiments, the safe default of ""1"" is applicable.
COMPLETENESS CHECK: The full set contains only the default value, which is correct when no specific count is mentioned.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","ExperimentalDesign","technical_replicates","6","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value is a numeric count, which is the correct type for technical_replicates.
SOURCE CHECK: The value ""6"" does not appear in the text as a count of technical replicates for any mass spectrometry experiment.
TRUTH CHECK: There is no mention of 6 technical replicates in the paper; the ""6"" likely comes from a misinterpretation of the ""six fractions"" mentioned in the TMT proteomic analysis, which refers to fractionation, not technical replication.
COMPLETENESS CHECK: The value is incorrect, so the set is not complete/accurate.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Technical","acquisition_method","data-dependent acquisition","data-dependent acquisition","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""data-dependent acquisition"" describes an MS acquisition scheme, which matches the field definition.
SOURCE CHECK: The value is present in the paper text; the ""METTL5 binding partner ID"" section states the mass spectrometer was operated in ""data-dependent mode"".
TRUTH CHECK: The value is factually correct as the paper explicitly mentions the use of data-dependent mode for the proteomics analysis of METTL5-binding proteins.
COMPLETENESS CHECK: The full set contains this single value, which accurately captures the acquisition method described for the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Technical","alkylation_reagent","iodoacetamide","iodoacetamide","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a chemical reagent used for alkylation, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the ""METTL5 binding partner ID"" section of the methods, describing the sample preparation for the nano LC/MS/MS analysis.
TRUTH CHECK: The text states that samples were ""reduced with 10 mM dithiothreitol at 60 °C followed by alkylation with 50 mM iodoacetamide at RT"".
COMPLETENESS CHECK: The full set contains the only alkylation reagent mentioned for the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Technical","cleavage_agent","Trypsin","Trypsin","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""Trypsin"" is a protease, which matches the definition of a cleavage agent.
SOURCE CHECK: The value is explicitly mentioned in the ""METTL5 binding partner ID"" section (""trypsin digestion was performed"") and the ""TMT11 proteomic analysis"" section (""in-gel digested... allowing up to two missed trypsin cleavage sites"").
TRUTH CHECK: The value is factually correct as the paper explicitly states trypsin was used for protein digestion.
COMPLETENESS CHECK: The full set of extracted values contains only ""Trypsin"", which is the only cleavage agent mentioned for the proteomics experiments.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Technical","fragment_mass_tolerance","0.02 Da","0.02 Da","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a mass tolerance value, which is the correct category for this field.
SOURCE CHECK: The value is explicitly stated in the ""METTL5 binding partner ID"" section of the methods, describing the Mascot search parameters for the MS experiment.
TRUTH CHECK: The paper explicitly states ""Fragment Mass Tolerance: 0.02 Da"".
COMPLETENESS CHECK: The full set contains the only fragment mass tolerance value mentioned in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Technical","fragmentation","beam-type collision-induced dissociation","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value describes a fragmentation method, which is the correct category for this field.
SOURCE CHECK: The phrase ""beam-type collision-induced dissociation"" does not appear in the provided paper text.
TRUTH CHECK: The paper mentions ""tandem mass spectrometry (LC-MS/MS)"" and ""data-dependent mode"" for the Q Exactive, but it never explicitly names the fragmentation method (e.g., HCD or CID).
COMPLETENESS CHECK: The full set contains only this value, which is not supported by the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Technical","instrument","Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF","Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value contains mass spectrometer make and model names, which matches the field definition.
SOURCE CHECK: All three instruments are explicitly mentioned in the text: ""Thermo Fisher Q Exactive"" (in the METTL5 binding partner ID section), ""Sciex Triple Quad 6500"" (in the LC-MS/MS section), and ""Q-Exactive HF"" (in the TMT11 proteomic analysis section).
TRUTH CHECK: All three instruments were used for mass spectrometry analysis in different parts of the study.
COMPLETENESS CHECK: The full set of extracted values covers all mass spectrometers mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD029574","","strict","Technical","label","TMT126","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value refers to a specific TMT tag, which falls under the category of isobaric labeling methods.
SOURCE CHECK: The paper describes a proteomic analysis of biochemically active fractions where proteins were ""labeled with 11 different tandem mass tags (TMT; Thermo Scientific)"".
TRUTH CHECK: The paper explicitly mentions ""TMT"" labeling, but it does not list the specific tag names (like TMT126, TMT127, etc.) in the text.
COMPLETENESS CHECK: The full set of extracted values lists individual tags that are not explicitly named in the text; the paper only specifies ""11 different tandem mass tags (TMT)"".

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: TMT","TMT"
"PXD029574","","strict","Technical","label","TMT127","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value is a specific isobaric label, which fits the category of the 'label' field.
SOURCE CHECK: The paper mentions ""labeled with 11 different tandem mass tags (TMT; Thermo Scientific)"" in the section ""TMT11 proteomic analysis of biochemically active fractions"", but it does not list specific tag numbers like ""TMT127"".
TRUTH CHECK: While the paper confirms the use of TMT, the specific tag ""TMT127"" is not mentioned in the text.
COMPLETENESS CHECK: The full set of extracted values lists specific TMT tags (126-131) that are not explicitly written in the paper; only the general use of ""11 different tandem mass tags (TMT)"" is stated.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: TMT","TMT"
"PXD029574","","strict","Technical","label","TMT128","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value is a specific type of isobaric label, which fits the category for the label field.
SOURCE CHECK: The paper mentions ""labeled with 11 different tandem mass tags (TMT; Thermo Scientific)"" in the ""TMT11 proteomic analysis of biochemically active fractions"" section, which is an MS experiment.
TRUTH CHECK: The paper explicitly states ""11 different tandem mass tags (TMT)"", but it does not list specific tag numbers like ""TMT128"". The candidate value ""TMT128"" is a hallucination of a specific tag version not mentioned in the text.
COMPLETENESS CHECK: The full set of extracted values consists of specific TMT tag numbers (126-131) that are not mentioned in the text; the only correct value is the general ""TMT"".

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: TMT","TMT"
"PXD029574","","strict","Technical","label","TMT129","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value is a specific isobaric label, which fits the category for the label field.
SOURCE CHECK: The paper describes a proteomic analysis of biochemically active fractions where proteins were ""labeled with 11 different tandem mass tags (TMT; Thermo Scientific)"".
TRUTH CHECK: The paper explicitly mentions ""TMT"" but does not list the specific tag numbers (e.g., TMT126, TMT129) used in the experiment.
COMPLETENESS CHECK: The full set of extracted values lists specific TMT tags that are not mentioned in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: TMT","TMT"
"PXD029574","","strict","Technical","label","TMT130","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value is a specific isobaric label, which fits the category of the 'label' field.
SOURCE CHECK: The paper describes a proteomic analysis of biochemically active fractions where proteins were ""labeled with 11 different tandem mass tags (TMT; Thermo Scientific)"".
TRUTH CHECK: The paper explicitly mentions ""TMT"" labeling, but it does NOT list the specific tags used (e.g., TMT130). The candidate value ""TMT130"" is not mentioned in the text.
COMPLETENESS CHECK: The full set of extracted values lists specific TMT tags that are not present in the text; the only correct label mentioned is ""TMT"".
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: TMT","TMT"
"PXD029574","","strict","Technical","label","TMT131","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value is a specific isobaric label, which fits the category of the 'label' field.
SOURCE CHECK: The paper describes a proteomic analysis of biochemically active fractions where proteins were ""labeled with 11 different tandem mass tags (TMT; Thermo Scientific)"".
TRUTH CHECK: While the paper explicitly mentions ""TMT"" and ""11 different tandem mass tags"", it does not explicitly list the specific tag numbers (e.g., TMT131).
COMPLETENESS CHECK: The full set of extracted values attempts to list individual TMT tags, but these specific numbers are not mentioned in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: TMT","TMT"
"PXD029574","","strict","Technical","mass_analyzer","orbitrap","orbitrap","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""orbitrap"" is a valid mass analyzer type.
SOURCE CHECK: The value is present in the paper text, specifically in the ""METTL5 binding partner ID"" section (""MS and MS/MS performed in the Orbitrap"").
TRUTH CHECK: The value is factually correct as the paper explicitly states the use of an Orbitrap for the proteomics analysis.
COMPLETENESS CHECK: The full set of extracted values is exhaustive for this field.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
