"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD010429","Biological","age","mean age = 69.1","mean age = 69.1","high","False","","True","True","False","TYPE CHECK: The candidate value is a numeric age representation, which matches the category for the age field.
SOURCE CHECK: The value is explicitly stated in the ""Results"" section (""mean age = 69.1"") describing the cohort of 108 SCC patients whose tumor tissues were analyzed by mass spectrometry.
TRUTH CHECK: The value is factually correct as per the text.
COMPLETENESS CHECK: The value provides the mean age of the analyzed cohort, which is sufficient for this field.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","Biological","cell_type","squamous cell","squamous cell","high","False","","True","True","False","TYPE CHECK: The candidate value ""squamous cell"" refers to a cell type/lineage, which matches the field definition.
SOURCE CHECK: The paper describes the analysis of ""squamous cell lung cancer (SCC) patients"" and ""squamous cell carcinoma tumor tissues"" using LC-MS/MS.
TRUTH CHECK: The samples are explicitly identified as squamous cell lung cancer tissues.
COMPLETENESS CHECK: The full set contains ""squamous cell"", which accurately describes the primary cell lineage of the tumor samples analyzed.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","Biological","disease","squamous cell lung cancer","squamous cell lung cancer","high","False","","True","True","False","TYPE CHECK: The candidate value ""squamous cell lung cancer"" is a disease state/diagnosis, which matches the field definition.
SOURCE CHECK: The value is explicitly stated in the title and throughout the text as the condition of the patients whose tumor tissues were analyzed by mass spectrometry.
TRUTH CHECK: The value is factually correct based on the paper text.
COMPLETENESS CHECK: The full set of extracted values contains the single correct disease state described in the study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","Biological","organ","lung","lung","high","False","","True","True","False","TYPE CHECK: The candidate value ""lung"" is a valid organ/tissue name.
SOURCE CHECK: The paper explicitly states that ""snap frozen tumor tissues"" were collected from ""patients with surgically resected stage I–III SCC of the lung"" and these tissues were used for ""mass spectrometry-based proteomic analysis"".
TRUTH CHECK: The value is factually correct as the samples are lung squamous cell carcinoma tumors.
COMPLETENESS CHECK: The full set of extracted values (""lung"") covers the organ of origin described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","Biological","species","homo sapiens","homo sapiens","high","False","","True","True","False","TYPE CHECK: The candidate value ""homo sapiens"" is a species name, which matches the required category for this field.
SOURCE CHECK: The paper describes a cohort of 108 squamous cell lung cancer patients and mentions the use of the ""RefSeq human protein sequence database,"" confirming the samples are human.
TRUTH CHECK: The value is factually correct as the study analyzed human tumor tissues.
COMPLETENESS CHECK: The full set contains the only species involved in the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","ExperimentalDesign","factor_value","proteomic subtype (Inflamed, Redox, Mixed)","proteomic subtype (Inflamed, Redox, Mixed) | squamous cell lung cancer","high","False","","True","True","False","TYPE CHECK: The candidate value describes the experimental factors/subtypes under study, which fits the definition of factor_value.
SOURCE CHECK: The paper explicitly identifies three proteomic subtypes (Inflamed, Redox, and Mixed) based on consensus clustering of the MS data.
TRUTH CHECK: The value is factually correct as the paper defines these three specific subtypes.
COMPLETENESS CHECK: The full set of extracted values covers both the disease state (squamous cell lung cancer) and the derived proteomic subtypes, which are the primary variables analyzed.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","ExperimentalDesign","factor_value","squamous cell lung cancer","proteomic subtype (Inflamed, Redox, Mixed) | squamous cell lung cancer","high","False","","True","True","False","TYPE CHECK: The candidate value is a disease state, which is a valid category for a factor_value.
SOURCE CHECK: The value is explicitly stated in the title and throughout the text as the condition of the patients whose tumor tissues were analysed by mass spectrometry.
TRUTH CHECK: The value is factually correct; the study focuses on a cohort of 108 squamous cell lung cancer (SCC) patients.
COMPLETENESS CHECK: The full set of extracted values covers both the primary disease (squamous cell lung cancer) and the derived experimental groups (proteomic subtypes), which is exhaustive for the factors under study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","ExperimentalDesign","fractions","12","12","high","False","","True","True","False","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the number of fractions.
SOURCE CHECK: The value is explicitly stated in the ""Expression proteomics"" section: ""Twelve concatenated fractions were analyzed with LC-MS/MS for each TMT experiment"".
TRUTH CHECK: The value ""12"" accurately reflects the number of fractions described in the paper.
COMPLETENESS CHECK: The full set of extracted values contains the only reported number of fractions, making it exhaustive.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010429","ExperimentalDesign","replicates","108","","low","False","","False","False","False","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the replicates field.
SOURCE CHECK: The paper mentions a cohort of 108 squamous cell lung cancer (SCC) patients from whom tumor tissues were collected and analyzed by mass spectrometry.
TRUTH CHECK: The value 108 refers to the number of unique biological samples (patients), not the number of biological replicates per sample/condition. In a clinical cohort study of this nature, each patient is typically treated as a single biological sample (n=108), and the ""replicates"" field usually refers to the number of times a single biological condition was repeated.
COMPLETENESS CHECK: The full set contains only this value, which misidentifies the total sample size as the number of replicates.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: 1","1"
"PXD010429","ExperimentalDesign","technical_replicates","2","","low","False","","False","False","True","TYPE CHECK: The candidate value is a numeric count, which is the correct category for technical_replicates.
SOURCE CHECK: The paper mentions ""two tumor pool replicates"" per TMT 6-plex in the ""Protein assembly"" section, but these are pool replicates used for normalization across batches, not technical replicates of the individual samples themselves.
TRUTH CHECK: The text does not explicitly state that each individual sample was analyzed in technical replicates; it describes the use of pool replicates for inter-batch normalization.
COMPLETENESS CHECK: The full set contains only this value, which is not supported by the text as a technical replicate count for the samples.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
