paper_id,source,mode,agent,annotation_type,extracted_value,all_values_for_field,verdict,type_mismatch,correct_type,value_correct,value_complete,hallucination,technical_origin,inference,error_category,issue_summary,corrected_value
PXD001856,human_annotation,strict,Biological,age,40y,40y | 39y | 27y,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value ""40y"" is a numeric age representation, which matches the required category for this field.
SOURCE CHECK: The value is explicitly stated in the Methods section under ""Cell culture and SILAC labeling..."" as part of the BM-MSC donor details (""40y/m"").
TRUTH CHECK: The text confirms that BM-MSC from a 40y donor were included in the proteomic profiling.
COMPLETENESS CHECK: The full set of extracted values (""40y"", ""39y"", ""27y"", ""20y"") covers all the donor ages mentioned for the BM-MSC used in the study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,Biological,age,39y,40y | 39y | 27y,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value ""39y"" is a numeric age representation, which matches the required category for this field.
SOURCE CHECK: The value is explicitly stated in the Methods section under ""Cell culture and SILAC labeling..."" as part of the BM-MSC donor details (""39y/m"").
TRUTH CHECK: The paper states that BM-MSC from three donors (40y, 39y, 27y) were included for proteomic profiling, confirming this donor was part of the MS experiment.
COMPLETENESS CHECK: The full set of extracted values (40y, 39y, 27y, 20y) covers all donors mentioned; although only three were used for proteomics and four for transcriptomics, the set is exhaustive relative to the donor list provided.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,Biological,age,27y,40y | 39y | 27y,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value ""27y"" is a numeric age representation, which matches the required category for this field.
SOURCE CHECK: The value is explicitly stated in the Methods section under ""Cell culture and SILAC labeling..."" as one of the BM-MSC donors (27y/m).
TRUTH CHECK: The text confirms that BM-MSC from three donors (40y, 39y, 27y) were included for proteomic profiling.
COMPLETENESS CHECK: The full set of extracted values (40y, 39y, 27y, 20y) covers all donors mentioned; although only three were used for proteomics and four for transcriptomics, the inclusion of the 27y donor is factually correct for the MS sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,Biological,age,20y,40y | 39y | 27y,low,False,,False,True,False,False,,wrong_value,"TYPE CHECK: The candidate value ""20y"" is a numeric age representation, which matches the required category for this field.
SOURCE CHECK: The value ""20y"" is explicitly mentioned in the Methods section under ""Cell culture and SILAC labeling..."" as one of the BM-MSC donors (20y/m).
TRUTH CHECK: The text states that for proteomic profiling, BM-MSC of three (40y, 39y, 27y) donors were included, but for transcriptomic profiling, four donors (40y, 39y, 27y, 20y) were included. The candidate value ""20y"" was used for transcriptomics, but the text explicitly limits the proteomic profiling to the 40y, 39y, and 27y donors.
COMPLETENESS CHECK: The full set of extracted values includes a donor who was not used for the MS experiment.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,Biological,species,human (Homo sapiens),human (Homo sapiens),high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value is a species name, which matches the field definition.
SOURCE CHECK: The paper explicitly mentions ""human mesenchymal stem cells"", ""human ESC-MSC"", ""human bone marrow-derived MSC"", and the use of a ""Homo Sapiens database"" for MS data analysis.
TRUTH CHECK: The value is factually correct as the study uses human cells.
COMPLETENESS CHECK: The full set contains the only species involved in the experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,ExperimentalDesign,fractions,12,12,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value is a numeric count, which is the correct category for the number of fractions.
SOURCE CHECK: The value is explicitly stated in the ""Isoelectric focusing"" section: ""Peptides (180 μg) were separated by in-solution isoelectric focusing (OFFGEL fractionator, Agilent) into 12 fractions over a pH range of 3–10.""
TRUTH CHECK: The value is factually correct according to the text.
COMPLETENESS CHECK: The full set contains the single correct value mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,ExperimentalDesign,replicates,3,3,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value is a numeric count, which is the correct category for the replicates field.
SOURCE CHECK: The paper states that ""ESC-MSC used for transcriptomic and proteomic profiling were generated in three independent experiments.""
TRUTH CHECK: The value ""3"" accurately reflects the number of independent experiments (biological replicates) used for the ESC-MSC proteomic profiling.
COMPLETENESS CHECK: The full set contains this single value, which covers the biological replication described for the primary experimental group.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,Other,collision_energy,normalized collision energy 25,normalized collision energy 25,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value is a collision energy setting, which matches the field definition.
SOURCE CHECK: The value is explicitly stated in the ""Nano LC-MS/MS analysis"" section of the methods.
TRUTH CHECK: The paper states ""fragmented using higher energy collisional dissociation (HCD) (normalized collision energy 25)"".
COMPLETENESS CHECK: The full set contains the only collision energy value mentioned in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,Other,fractionation,Isoelectric focusing (OFFGEL fractionator) into 12 fractions over a pH range of 3-10,Isoelectric focusing (OFFGEL fractionator) into 12 fractions over a pH range of 3-10,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value describes an offline peptide fractionation method, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the ""Isoelectric focusing"" section of the methods, describing the process applied to peptides before LC-MS/MS analysis.
TRUTH CHECK: The value is factually correct as it accurately reflects the text: ""separated by in-solution isoelectric focusing (OFFGEL fractionator, Agilent) into 12 fractions over a pH range of 3–10.""
COMPLETENESS CHECK: The full set contains this single value, which exhaustively describes the peptide fractionation method used in the study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
PXD001856,human_annotation,strict,Other,material_type,cell line,cell line,high,False,,True,True,False,False,,correct_explicit,"TYPE CHECK: The candidate value ""cell line"" is a valid category for the material_type field.
SOURCE CHECK: The value is present and correct for the MS experiment; the study analyzed hESC (ES04), ESC-MSC, and BM-MSC, all of which are cultured cell lines/primary-like cells.
TRUTH CHECK: The value is factually correct as the samples were cultured cells.
COMPLETENESS CHECK: The full set of extracted values includes both the broad material class (""cell line"") and the specific subcellular fractions (""cytosolic fraction"", etc.); together they accurately describe the material analyzed by MS.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",
