"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD060381","hamlet_raw","inference","Biological","cell_line","ASC52telo","ASC52telo","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a specific name of an immortalized cell line, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the ""Human MSC Culture"" section and the ""Mass Spectrometric Analysis of EVs"" section confirms that EV pellets from these MSCs (ASC52telo) were analyzed by mass spectrometry.
TRUTH CHECK: The paper states ""ASC52telo cells, an hTERT immortalized human adipose derived mesenchymal stem cell line... will be referred to as MSCs from here on,"" and these MSCs were the source of the EVs analyzed by MS.
COMPLETENESS CHECK: The full set contains the only cell line used to generate the MS samples described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","Biological","cell_type","mesenchymal stem cell","mesenchymal stem cell","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value ""mesenchymal stem cell"" describes a cell lineage/type, which matches the field definition.
SOURCE CHECK: The paper explicitly states that the MS analysis was performed on EVs derived from ""ASC52telo cells,"" which are described as an ""immortalized human adipose derived mesenchymal stem cell line.""
TRUTH CHECK: The value is factually correct as the source cells for the analyzed EVs are mesenchymal stem cells.
COMPLETENESS CHECK: The full set contains the single correct cell type used for the MS samples.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","Biological","disease","normal","normal","high","False","","True","True","False","False","True","inferred","TYPE CHECK: The candidate value ""normal"" is a valid category for the disease field.
SOURCE CHECK: The MS experiment was performed on extracellular vesicles (EVs) derived from the ASC52telo cell line; this is an immortalized cell line used as a model system, not a disease-study sample.
TRUTH CHECK: Per the field definition, ""normal"", ""healthy"", or ""no disease"" are safe defaults when subjects are not part of a disease study.
COMPLETENESS CHECK: The full set contains only this value, which is sufficient for a non-disease study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: yes
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","Biological","organ","adipose","adipose","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value ""adipose"" refers to a tissue/organ of origin, which matches the field definition.
SOURCE CHECK: The MS sample was derived from ""ASC52telo cells"", which the paper explicitly describes as an ""adipose derived mesenchymal stem cell line"".
TRUTH CHECK: The value is factually correct based on the description of the cell line used for the proteomics experiment.
COMPLETENESS CHECK: The full set contains the only relevant tissue of origin for the MS sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","Biological","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper explicitly mentions ""human MSC line"" and ""human IVD cells,"" and the MS analysis used the ""human UniProt database.""
TRUTH CHECK: The source organism for the analyzed extracellular vesicles (derived from human MSCs) is indeed Homo sapiens.
COMPLETENESS CHECK: The full set contains the only species involved in the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","ExperimentalDesign","factor_value","TSG-6 activated vs control","TSG-6 activated vs control","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value describes an experimental contrast between two groups, which is a valid representation of a factor_value.
SOURCE CHECK: The paper explicitly describes the proteomics analysis of ""TSG-6 activated EVs vs control EVs"" (Abstract) and ""EV pellets from WT, NTC and TSG-6 MSCs"" (Mass Spectrometric Analysis of EVs).
TRUTH CHECK: The value accurately reflects the primary comparison performed in the mass spectrometry experiment.
COMPLETENESS CHECK: The full set captures the core experimental contrast described for the proteomics analysis.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","ExperimentalDesign","fractions","1","1","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the number of fractions.
SOURCE CHECK: The paper describes the sample preparation (S-Trap digestion) and direct loading onto a trap column followed by LC-MS/MS, with no mention of offline fractionation.
TRUTH CHECK: Since no fractionation is described, the safe default of ""1"" is correct.
COMPLETENESS CHECK: The full set contains only the value ""1"", which accurately reflects the lack of fractionation described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","ExperimentalDesign","replicates","3","3","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which matches the definition for the replicates field.
SOURCE CHECK: The paper explicitly states ""EV pellets from WT, NTC and TSG-6 MSCs were collected as described above and resuspended in 100 µl PBS (n = 3)"" in the Mass Spectrometric Analysis of EVs section.
TRUTH CHECK: The value ""3"" is factually correct as it matches the reported number of biological replicates for the MS samples.
COMPLETENESS CHECK: The full set contains the single correct value reported for the biological replicates of the proteomics experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","Other","collision_energy","25%","25%","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a percentage, which is a standard representation for normalized collision energy.
SOURCE CHECK: The value is explicitly stated in the ""Mass Spectrometric Analysis of EVs"" section: ""HCD collision energy was maintained at 25%"".
TRUTH CHECK: The value matches the text exactly.
COMPLETENESS CHECK: The full set contains the only collision energy value mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_raw","inference","Other","developmental_stage","adult","adult","high","False","","True","True","False","False","True","inferred","TYPE CHECK: The candidate value ""adult"" is a valid developmental stage.
SOURCE CHECK: The MS samples were derived from ASC52telo cells (an immortalized human adipose derived mesenchymal stem cell line) and EVs from these cells; while the cell line itself is immortalized, the source material (human adipose tissue) and the other human samples in the study (IVD cells from patients undergoing spinal surgery) are from adults.
TRUTH CHECK: The value is reasonably inferable as the study uses human patients undergoing spinal surgery and a human adipose-derived cell line.
COMPLETENESS CHECK: The full set of extracted values is exhaustive for the information provided.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: yes
VERDICT: high
CORRECTED_VALUE: NONE",""
