"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","repository_origin","inference","error_category","issue_summary","corrected_value"
"PXD010357","","strict","Biological","age","69.1","","low","False","","False","False","False","False","","","wrong_value","TYPE CHECK: Unable to evaluate.
SOURCE CHECK: N/A
TRUTH CHECK: N/A
COMPLETENESS CHECK: N/A
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","Biological","disease","squamous cell lung cancer","","low","False","","False","False","False","False","","","wrong_value","TYPE CHECK: Unable to evaluate.
SOURCE CHECK: N/A
TRUTH CHECK: N/A
COMPLETENESS CHECK: N/A
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","Biological","organ","lung","","low","False","","False","False","False","False","","","wrong_value","TYPE CHECK: Unable to evaluate.
SOURCE CHECK: N/A
TRUTH CHECK: N/A
COMPLETENESS CHECK: N/A
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","Biological","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""Homo sapiens"" is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper describes a cohort of 108 squamous cell lung cancer patients and explicitly mentions the use of the ""RefSeq human protein sequence database"" for protein identification.
TRUTH CHECK: The samples are derived from human patients, making ""Homo sapiens"" factually correct.
COMPLETENESS CHECK: The full set contains the only species involved in the MS experiment.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","ExperimentalDesign","factor_value","proteomic subtype (Inflamed, Redox, Mixed)","proteomic subtype (Inflamed, Redox, Mixed) | squamous cell lung cancer","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value describes the experimental factor (proteomic subtype) and its associated levels, which is the correct category for this field.
SOURCE CHECK: The value is explicitly derived from the results section, where the authors identify and define three proteomic subtypes: ""Inflamed"", ""Redox"", and ""Mixed"".
TRUTH CHECK: The value is factually correct as the paper explicitly states these three subtypes were identified via consensus clustering of the proteomes.
COMPLETENESS CHECK: The full set of extracted values covers both the disease state and the specific proteomic classification used to group the samples, which is exhaustive for the experimental design described.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","ExperimentalDesign","factor_value","squamous cell lung cancer","proteomic subtype (Inflamed, Redox, Mixed) | squamous cell lung cancer","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value is a disease state, which is a valid characteristic for a factor_value.
SOURCE CHECK: The value is explicitly mentioned in the title and abstract as the disease being studied in the cohort analyzed by mass spectrometry.
TRUTH CHECK: The study specifically analyzes a cohort of 108 patients with squamous cell lung cancer.
COMPLETENESS CHECK: The full set of extracted values includes both the primary disease and the specific proteomic subtypes identified, which comprehensively covers the experimental factors described.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","Technical","acquisition_method","data-independent acquisition","data-independent acquisition","medium","False","","True","False","False","False","","","incomplete","TYPE CHECK: The candidate value is a valid MS acquisition scheme.
SOURCE CHECK: The value is explicitly mentioned in the ""Methods"" section under ""Expression proteomics"" (""...looped 18 narrow window data independent acquisition (DIA) tandem mass spectrometry scans..."").
TRUTH CHECK: The value is factually correct as the paper describes using DIA.
COMPLETENESS CHECK: The paper also describes a data-dependent acquisition (DDA) workflow for the TMT experiments (""Sixteen tandem mass spectra were collected in a data-dependent manner...""). The full set of extracted values is missing ""data-dependent acquisition"" or ""DDA"".
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: data-independent acquisition, data-dependent acquisition","data-independent acquisition, data-dependent acquisition"
"PXD010357","","strict","Technical","alkylation_reagent","iodoacetamide","iodoacetamide","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""iodoacetamide"" is a chemical reagent used for cysteine alkylation, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the ""Expression proteomics"" section of the methods: ""...followed by alkylation with 11 mM iodoacetamide at room temperature..."".
TRUTH CHECK: The value is factually correct as it is the reagent used for alkylation in the described proteomics workflow.
COMPLETENESS CHECK: The full set of extracted values contains only ""iodoacetamide"", which is the only alkylation reagent mentioned in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","Technical","cleavage_agent","Trypsin","","low","False","","False","False","False","False","","","wrong_value","TYPE CHECK: Unable to evaluate.
SOURCE CHECK: N/A
TRUTH CHECK: N/A
COMPLETENESS CHECK: N/A
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD010357","","strict","Technical","fragmentation","beam-type collision-induced dissociation","","low","False","","False","False","False","False","","","wrong_value","TYPE CHECK: Unable to evaluate.
SOURCE CHECK: N/A
TRUTH CHECK: N/A
COMPLETENESS CHECK: N/A
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
