"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD021186","BiologicalAgent","species","Mus musculus","Mus musculus","medium","False","","True","False","False","TYPE CHECK: The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper explicitly mentions ""mouse embryos"", ""mouse brain extracts"", and ""mouse cortical neurons"".
TRUTH CHECK: ""Mus musculus"" is the correct scientific name for the mouse used in the experiments.
COMPLETENESS CHECK: The full set of extracted values is incomplete because the paper also uses Drosophila melanogaster and humans (Homo sapiens) as source organisms.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: [""Mus musculus"", ""Drosophila melanogaster"", ""Homo sapiens""]","Mus musculus, Drosophila melanogaster, Homo sapiens"
"PXD021186","BiologicalAgent","organ","brain cortex","brain cortex","high","False","","True","True","False","TYPE CHECK:        The candidate value ""brain cortex"" is a valid organ/tissue type.
SOURCE CHECK:      The text explicitly mentions ""brain cortex"" multiple times (e.g., ""subcellular fractionation of frozen mice brain cortex"", ""isolated from embryonic (E) day 14.5 WT or Elp3cKO mouse embryos"" in the context of cortical projection neurons).
TRUTH CHECK:       The value is factually correct as the study utilizes cortical extracts and neurons from the brain cortex.
COMPLETENESS CHECK:   The full set of extracted values (""brain cortex"") covers the primary tissue source for the proteomics and biochemical assays described.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","BiologicalAgent","cell_type","vesicles","","low","True","","False","False","False","TYPE CHECK:        The candidate value ""vesicles"" is a subcellular organelle/compartment, not a primary cell type or lineage.
SOURCE CHECK:      The word ""vesicles"" is present in the text, but it refers to the subcellular location of proteins, not the type of cell.
TRUTH CHECK:       The value is factually incorrect as a cell type; the actual cell types used in the study are neurons and fibroblasts.
COMPLETENESS CHECK:The full set contains only ""vesicles"", which is incorrect and fails to capture the actual cell types mentioned in the paper.
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: cell_type
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   [""neurons"", ""fibroblasts""]","neurons, fibroblasts"
"PXD021186","BiologicalAgent","disease","WT, Elp1 KD","WT, Elp1 KD","medium","False","","True","False","False","TYPE CHECK:        The candidate value contains a mix of a control state (""WT"") and a genetic knockdown (""Elp1 KD""), which fits the category of disease/disease state.
SOURCE CHECK:      Both ""WT"" (wild-type) and ""Elp1 KD"" (knockdown of Elp1) are explicitly mentioned in the text.
TRUTH CHECK:       The values are factually present, but ""WT"" is a control and ""Elp1 KD"" is an experimental condition. However, the paper also focuses heavily on ""Familial Dysautonomia (FD)"", which is the actual human disease being modeled.
COMPLETENESS CHECK:    The full set is incomplete. It misses the primary disease discussed in the paper, ""Familial Dysautonomia"" (or ""FD""), as well as other experimental states like ""Elp3 cKO"" and ""Acly KD"".
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""Familial Dysautonomia"", ""WT"", ""Elp1 KD"", ""Elp3 cKO"", ""Acly KD""]",""
"PXD021186","BiologicalAgent","material_type","brain cortex of WT or Elp1 KD mice","","low","True","","False","False","False","TYPE CHECK:        The candidate value is a specific tissue description, but the field definition requires a ""Broad material class"" (e.g., ""tissue"", ""cell line"").
SOURCE CHECK:      The text mentions ""pooled vesicles isolated from the brain cortex of WT or Elp1 KD mice"" for the mass spectrometry analysis.
TRUTH CHECK:       While the source is correct, the value provided is the specific sample identity rather than the broad material category.
COMPLETENESS CHECK: The full set contains only this specific description, failing to map it to the required broad category ""tissue"".
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: material_type
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   [""tissue""]","tissue"
"PXD021186","BiologicalAgent","age","P0","P0","medium","False","","True","False","False","TYPE CHECK: The candidate value ""P0"" (postnatal day 0) is a valid developmental time point/age.
SOURCE CHECK: The value is present in the text (e.g., ""P0 mouse brain extracts"", ""P0 Elp1 KO brains"").
TRUTH CHECK: The value is factually correct as it describes the age of the mouse pups used in several experiments.
COMPLETENESS CHECK: The full set of extracted values is incomplete; the paper also mentions ""E14.5"" (embryonic day 14.5) for several experiments and ""10–16 months-old"" for Elp1cKO mice.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: [""P0"", ""E14.5"", ""10–16 months-old""]",""
"PXD021186","TechnicalAgent","acquisition_method","DDA","DDA","high","False","","True","True","False","TYPE CHECK: The candidate value ""DDA"" is a valid acquisition scheme name.
SOURCE CHECK: The paper describes the MS process as ""repetitively full MS scan followed by high collision-induced dissociation (HCD... ) of the 10 most dominant ions... selected from the first MS scan,"" which is the definition of Data-Dependent Acquisition (DDA).
TRUTH CHECK: The description of the acquisition process confirms that DDA was used.
COMPLETENESS CHECK: The full set contains the only acquisition method used for the proteomics analysis in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD021186","TechnicalAgent","alkylation_reagent","iodoacetamide","iodoacetamide","high","False","","True","True","False","TYPE CHECK:        The candidate value ""iodoacetamide"" is a chemical used for cysteine alkylation, which matches the field definition.
SOURCE CHECK:      The text explicitly states the samples were ""modified with 10 mM iodoacetamide"".
TRUTH CHECK:       The value is factually correct based on the ""Mass spectrometry analysis"" section of the methods.
COMPLETENESS CHECK: The full set contains the only alkylation reagent mentioned in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","TechnicalAgent","cleavage_agent","modified trypsin","modified trypsin","high","False","","True","True","False","TYPE CHECK:        The candidate value is a protease used for protein digestion, which matches the field definition.
SOURCE CHECK:      The text explicitly mentions that samples were ""digested... with modified trypsin (Promega)"".
TRUTH CHECK:       The value is factually correct as stated in the ""Mass spectrometry analysis"" section.
COMPLETENESS CHECK:    The full set contains the only cleavage agent mentioned in the proteomics experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","TechnicalAgent","collision_energy","35 normalized collision energy","35 normalized collision energy","high","False","","True","True","False","TYPE CHECK: The candidate value is a numeric value with a specified energy type, which matches the definition of collision energy.
SOURCE CHECK: The text explicitly states ""high collision-induced dissociation (HCD, at 35 normalized collision energy)"".
TRUTH CHECK: The value is factually correct as per the mass spectrometry analysis section of the paper.
COMPLETENESS CHECK: The full set contains the only collision energy value mentioned in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
