sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD040176-Sample-1	source_name	source name	PXD040176-Sample-1	derived								legacy_derivation	derived
1	PXD040176-Sample-1	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD040176-Sample-1	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
1	PXD040176-Sample-1	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
1	PXD040176-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD040176-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD040176-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
1	PXD040176-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
1	PXD040176-Sample-1	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	runassessor				high	False	False		source_precedence:runassessor	derived
1	PXD040176-Sample-1	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
1	PXD040176-Sample-1	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD040176-Sample-1	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
