"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD060381","hamlet_harmonized","strict","Biological","cell_line","ASC52telo","ASC52telo","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a specific name of an immortalized cell line, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the ""Human MSC Culture"" section and the ""Mass Spectrometric Analysis of EVs"" section confirms that EVs derived from these MSCs (ASC52telo) were the material analyzed by mass spectrometry.
TRUTH CHECK: The paper states ""ASC52telo cells, an hTERT immortalized human adipose derived mesenchymal stem cell line... will be referred to as MSCs from here on,"" and later describes the proteomic analysis of EVs from these MSCs.
COMPLETENESS CHECK: The full set contains the only cell line used to generate the samples for the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","Biological","cell_type","mesenchymal stem cell","mesenchymal stem cell","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""mesenchymal stem cell"" describes a cell lineage/type, which matches the field definition.
SOURCE CHECK: The MS analysis was performed on extracellular vesicles (EVs) derived from ASC52telo cells, which the paper explicitly defines as an ""immortalized human adipose derived mesenchymal stem cell line"".
TRUTH CHECK: The value is factually correct as the source of the analyzed material (EVs) is a mesenchymal stem cell line.
COMPLETENESS CHECK: The full set contains the only relevant cell type for the MS sample described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","Biological","disease","normal","normal","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""normal"" is a valid category for the disease field.
SOURCE CHECK: The MS experiment analyzed extracellular vesicles (EVs) derived from the ASC52telo cell line; this cell line is an immortalized human adipose-derived MSC line and is not described as being derived from a disease state.
TRUTH CHECK: Since the source material for the MS analysis (ASC52telo cells) is not associated with a specific disease in the text, the safe default ""normal"" is correct.
COMPLETENESS CHECK: The full set contains only ""normal"", which accurately reflects the status of the MS sample source.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","Biological","organ","adipose","adipose","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""adipose"" is a valid organ/tissue type.
SOURCE CHECK: The MS sample was derived from EVs produced by ASC52telo cells, which the paper explicitly describes as an ""hTERT immortalized human adipose derived mesenchymal stem cell line"".
TRUTH CHECK: The value is factually correct as the cells used for the proteomics experiment are adipose-derived.
COMPLETENESS CHECK: The full set contains the only relevant tissue of origin for the MS sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","Biological","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""Homo sapiens"" is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper describes the analysis of extracellular vesicles (EVs) derived from an ""immortalized human MSC line"" (ASC52telo) and uses the ""human UniProt database"" for protein identification.
TRUTH CHECK: The source material is explicitly stated as human.
COMPLETENESS CHECK: The full set contains ""Homo sapiens"", which is the only species involved in the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","ExperimentalDesign","factor_value","TSG-6 activated vs control","TSG-6 activated vs control","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes a contrast between experimental groups, which is a valid representation of a factor_value.
SOURCE CHECK: The value is derived from the MS experiment context, where the paper states ""Proteomics of EVs identified 35 proteins... that were differentially expressed in TSG-6 activated EVs vs control EVs.""
TRUTH CHECK: The value is factually correct as the study compares EVs from TSG-6 activated MSCs against control (NTC/WT) EVs.
COMPLETENESS CHECK: The full set of extracted values captures the primary experimental contrast described for the proteomics analysis.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","ExperimentalDesign","fractions","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the fractions field.
SOURCE CHECK: The paper describes the proteomics workflow (S-Trap digestion followed by LC-MS/MS) but does not mention any offline fractionation step.
TRUTH CHECK: Since no fractionation is described, the safe default of ""1"" is correct.
COMPLETENESS CHECK: The full set of extracted values consists of this single value, which accurately reflects the absence of fractionation.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","ExperimentalDesign","replicates","3","3","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the replicates field.
SOURCE CHECK: The paper explicitly states ""(n = 3)"" in the ""Mass Spectrometric Analysis of EVs"" section when describing the collection of EV pellets from WT, NTC, and TSG-6 MSCs.
TRUTH CHECK: The value ""3"" accurately reflects the number of biological replicates used for the mass spectrometry experiment.
COMPLETENESS CHECK: The full set of extracted values contains only ""3"", which is exhaustive for this field.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","Other","collision_energy","25%","25%","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a percentage, which is a correct format for collision energy.
SOURCE CHECK: The value is explicitly stated in the ""Mass Spectrometric Analysis of EVs"" section (""HCD collision energy was maintained at 25%"").
TRUTH CHECK: The value matches the text exactly.
COMPLETENESS CHECK: The full set contains the only collision energy value mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","strict","Other","developmental_stage","adult","adult","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""adult"" is a valid developmental stage.
SOURCE CHECK: The MS samples were derived from ASC52telo cells (human adipose derived mesenchymal stem cell line) and the paper mentions human IVD cells from patients undergoing spinal surgery; while the cell line's specific donor age isn't stated, the patient source for the IVD cells is adult.
TRUTH CHECK: The value is reasonably inferable as the study involves human patients undergoing spinal surgery for disc herniation or DDD, which are adult conditions.
COMPLETENESS CHECK: The full set contains ""adult"", which covers the inferable developmental stage of the human subjects described.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
