"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD006603","","strict","Biological","cell_line","U2OS, Flp-In™ T-Rex™ 293, A673","","low","False","","False","False","False","False","","wrong_value","TYPE CHECK: The candidate value contains names of immortalized cell lines, which matches the field definition.
SOURCE CHECK: The paper describes a SILAC-MS/MS experiment using ""WT and ΔEMC cells"". The ""Materials and Methods"" section specifies that these cell lines were generated using ""U2OS Flp-In™ T-Rex™"" cells. While ""Flp-In™ T-Rex™ 293"" and ""A673"" are mentioned in the ""Cell culture"" section, the SILAC-MS/MS specific section and the results regarding the proteomic analysis of ΔEMC5 and ΔEMC6 lines refer to the U2OS-derived lines. A673 and HEK293 (Flp-In T-Rex 293) were used for western blotting and immunofluorescence validation of SQS expression, not for the MS experiment.
TRUTH CHECK: Only U2OS Flp-In™ T-Rex™ was used for the actual proteomics (SILAC-MS/MS) experiment. The other two cell lines were used for validation assays.
COMPLETENESS CHECK: The full set includes cell lines that were not used for the MS analysis.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: U2OS Flp-In™ T-Rex™","U2OS Flp-In™ T-Rex™"
"PXD006603","","strict","Biological","cell_type","epithelial cell","epithelial cell","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""epithelial cell"" is a valid cell type/lineage.
SOURCE CHECK: The MS experiment used U2OS cells (mentioned in ""SILAC-MS/MS"" and ""Cell culture"" sections), which are a well-known osteosarcoma cell line of epithelial origin.
TRUTH CHECK: U2OS cells are derived from human bone (osteosarcoma), and while they are mesenchymal/epithelial-like, ""epithelial cell"" is a reasonably accepted general lineage for this cell line in a proteomics context.
COMPLETENESS CHECK: The full set contains only this value, which covers the lineage of the primary cell line used for the MS analysis.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","Biological","disease","osteosarcoma","osteosarcoma","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""osteosarcoma"" is a disease state, which matches the field definition.
SOURCE CHECK: The value is inferable from the cell lines used for the MS experiment; the paper uses U2OS and A673 cells, both of which are well-established osteosarcoma cell lines.
TRUTH CHECK: U2OS and A673 are indeed derived from osteosarcoma.
COMPLETENESS CHECK: The full set of extracted values covers the disease origin of the biological materials analysed by mass spectrometry.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","Biological","organ","bone","bone","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""bone"" is a valid organ/tissue type.
SOURCE CHECK: The paper uses U2OS cells (osteosarcoma), A673 cells (Ewing sarcoma), and HEK293 cells for the MS experiment; these are all derived from bone or embryonic kidney.
TRUTH CHECK: U2OS and A673 are bone-derived sarcoma cell lines, making ""bone"" a correct inference for the tissue of origin for the primary MS samples.
COMPLETENESS CHECK: The full set contains ""bone"", but the study also used HEK293 cells (kidney origin). However, the primary focus and the majority of the MS analysis (SILAC) were performed on U2OS cells.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","Biological","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper describes the use of human cell lines (U2OS, HEK293, A673) and explicitly mentions searching against the ""human database downloaded from Uniprot"" for the MS data.
TRUTH CHECK: The biological material analyzed by mass spectrometry consists of human cell lines.
COMPLETENESS CHECK: The full set contains ""Homo sapiens"", which is the only species involved in the proteomics experiment.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","ExperimentalDesign","factor_value","genotype (WT, $\Delta$EMC5, $\Delta$EMC6)","genotype (WT, $\Delta$EMC5, $\Delta$EMC6) | osteosarcoma","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes the experimental factor (genotype) and its specific levels, which is the correct category for factor_value.
SOURCE CHECK: The values ""WT"", ""ΔEMC5"", and ""ΔEMC6"" are explicitly mentioned in the results and methods as the genotypes of the U2OS cells analyzed by SILAC-MS/MS.
TRUTH CHECK: The values are factually correct; the study compares wild-type (WT) cells with knockout cells for EMC5 and EMC6.
COMPLETENESS CHECK: The full set of extracted values includes the genotype and the disease/cell type context (""osteosarcoma"" for U2OS), covering the primary experimental variables.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","ExperimentalDesign","factor_value","osteosarcoma","genotype (WT, $\Delta$EMC5, $\Delta$EMC6) | osteosarcoma","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""osteosarcoma"" is a disease/cell type characteristic, which is a valid category for a factor_value.
SOURCE CHECK: The value is reasonably inferable from the use of U2OS cells, which are a well-known osteosarcoma cell line, although the word ""osteosarcoma"" does not appear literally in the text.
TRUTH CHECK: U2OS cells are derived from human osteosarcoma; therefore, the value is factually correct for the biological material used in the MS experiment.
COMPLETENESS CHECK: The full set of extracted values includes both the genotype contrast and the disease/cell lineage, covering the primary experimental variables.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","ExperimentalDesign","fractions","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the fractions field.
SOURCE CHECK: The paper describes a proteomics workflow (SILAC-MS/MS) but does not mention any offline peptide or protein fractionation (e.g., high-pH RP or SAX) prior to LC-MS.
TRUTH CHECK: Since no fractionation is described, the safe default of ""1"" is correct.
COMPLETENESS CHECK: The full set of extracted values consists of this single value, which accurately reflects the absence of fractionation.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","ExperimentalDesign","replicates","5","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the replicates field.
SOURCE CHECK: The paper does not explicitly state a number of biological replicates for the SILAC-MS/MS experiment; it mentions ""two independent ΔEMC5 and ΔEMC6 cell lines"" and ""four cell lines"" in total for the proteomic analysis, but not 5.
TRUTH CHECK: There is no mention of 5 biological replicates in the text.
COMPLETENESS CHECK: The value is incorrect, and therefore the set is not exhaustive or accurate.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD006603","","strict","ExperimentalDesign","technical_replicates","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct category for technical replicates.
SOURCE CHECK: The paper does not explicitly mention the number of technical replicates for the MS analysis.
TRUTH CHECK: According to the safe defaults in the instructions, ""1"" is correct when the paper is silent on replication.
COMPLETENESS CHECK: The value ""1"" is a complete representation of the information provided (or lack thereof) in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
