"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD073162","","strict","Biological","age","adults","adults","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""adults"" describes the developmental stage/age of the source organism.
SOURCE CHECK: The value comes from the MS experiment context; the ""Immunoprecipitation coupled with mass spectrometry (IP-MS)"" section explicitly states, ""The endostyle tissues were isolated from S. clava adults.""
TRUTH CHECK: The value is factually correct as the paper specifies adults were used for the IP-MS sample preparation.
COMPLETENESS CHECK: The full set contains the only age/stage mentioned for the MS sample, making it exhaustive.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","Biological","disease","normal","normal","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""normal"" is a valid category for the disease field.
SOURCE CHECK: The paper describes a basic biological study on the ascidian *Styela clava* to identify a protein precursor; there is no mention of any disease or pathological condition in the MS experiment.
TRUTH CHECK: Since the study is not a disease study and the subjects are not described as having any pathology, the safe default ""normal"" is correct.
COMPLETENESS CHECK: The full set contains only ""normal"", which is exhaustive for a study with no disease context.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","Biological","organ","endostyle","endostyle","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""endostyle"" is a tissue/organ, which matches the definition of the organ field.
SOURCE CHECK: The value is explicitly mentioned in the ""Immunoprecipitation coupled with mass spectrometry (IP-MS)"" section, where it states ""The endostyle tissues were isolated from S. clava adults"" for the purpose of the MS experiment.
TRUTH CHECK: The value is factually correct as the endostyle of *S. clava* was the source of the protein lysates analyzed by mass spectrometry.
COMPLETENESS CHECK: The full set of extracted values contains only ""endostyle"", which is the only tissue used for the IP-MS experiment described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","Biological","species","S. clava","S. clava","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a species name, which matches the field definition.
SOURCE CHECK: The value comes from the MS experiment context; the paper states that immunoprecipitation coupled with mass spectrometry (IP-MS) was conducted on endostyle tissue lysates from *S. clava* adults.
TRUTH CHECK: The value ""S. clava"" is the correct abbreviation for *Styela clava*, the organism analyzed in the proteomics experiment.
COMPLETENESS CHECK: The full set contains the only species analyzed by mass spectrometry in this study.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","ExperimentalDesign","factor_value","antibody (anti-BtTG, Rabbit IgG)","normal","low","True","","False","False","False","False","","type_mismatch","TYPE CHECK: The candidate value describes the antibodies used for immunoprecipitation, which is a technical detail of the sample preparation, not an experimental factor/variable (like genotype, treatment, or disease state).
SOURCE CHECK: The values ""anti-BtTG"" and ""Rabbit IgG"" are present in the text, but they describe the reagents used to pull down proteins for the MS experiment, not the experimental design factor.
TRUTH CHECK: While the reagents were used, they do not constitute a ""factor_value"" (the variable being tested across different sample groups).
COMPLETENESS CHECK: The full set of extracted values is incorrect as it mixes a technical reagent with a safe default for disease state.
TYPE_CORRECT: no
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","ExperimentalDesign","factor_value","normal","normal","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""normal"" is a valid category for a factor_value, specifically as a safe default for disease/health status.
SOURCE CHECK: The paper does not explicitly use the word ""normal,"" but it describes the baseline state of the *S. clava* endostyle tissue used for the IP-MS experiment without any disease or treatment mentioned for those specific samples.
TRUTH CHECK: Per the field definitions, ""normal"", ""healthy"", and ""disease free"" are safe defaults and are correct when subjects are not part of a disease study.
COMPLETENESS CHECK: The full set of extracted values is not exhaustive or correct; ""antibody (anti-BtTG, Rabbit IgG)"" is a type mismatch (it is a reagent, not a factor value), and ""normal"" is a generic default.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","ExperimentalDesign","fractions","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the number of fractions.
SOURCE CHECK: The paper does not mention any offline peptide or protein fractionation (e.g., high-pH RP or SAX) prior to LC-MS/MS; therefore, the safe default of ""1"" is applied.
TRUTH CHECK: The value is correct as no fractionation was described.
COMPLETENESS CHECK: The value is complete as it accurately reflects the lack of fractionation described in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","ExperimentalDesign","replicates","2","2","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the replicates field.
SOURCE CHECK: The value is explicitly stated in the ""Immunoprecipitation coupled with mass spectrometry (IP-MS)"" section: ""The experiments were performed with two independent biological replicates.""
TRUTH CHECK: The value ""2"" accurately reflects the number of biological replicates used for the MS experiment.
COMPLETENESS CHECK: The full set contains the single correct value mentioned in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","ExperimentalDesign","technical_replicates","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct type for technical replicates.
SOURCE CHECK: The paper does not explicitly mention the number of technical replicates for the MS experiment.
TRUTH CHECK: According to the safe defaults in the field definitions, ""1"" is correct when no replication is mentioned.
COMPLETENESS CHECK: The value ""1"" is the standard default for a silent paper and is complete.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD073162","","strict","Technical","acquisition_method","data-dependent acquisition","data-dependent acquisition","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a valid MS acquisition scheme.
SOURCE CHECK: The value is present in the paper text, specifically in the LC-MS/MS section (""MS data was acquired using a data-dependent top20 method"").
TRUTH CHECK: The value ""data-dependent acquisition"" is a correct expansion/synonym of the ""data-dependent"" method described in the text.
COMPLETENESS CHECK: The full set contains the only acquisition method mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
