"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD060381","hamlet_harmonized","inference","Biological","cell_line","ASC52telo","ASC52telo","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a name of an immortalized cell line, which matches the field definition.
SOURCE CHECK: The text explicitly states that ASC52telo cells were used to generate the MSC-EVs, and the ""Mass Spectrometric Analysis of EVs"" section confirms that EV pellets from these MSCs were the samples analyzed by mass spectrometry.
TRUTH CHECK: The value is factually correct as per the ""Human MSC Culture"" section.
COMPLETENESS CHECK: The full set contains the only cell line used to produce the MS samples.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","Biological","cell_type","mesenchymal stem cell","mesenchymal stem cell","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value ""mesenchymal stem cell"" describes a cell lineage/type, which matches the field definition.
SOURCE CHECK: The paper explicitly states that the MS analysis was performed on EVs derived from ""ASC52telo cells,"" which are described as an ""immortalized human adipose derived mesenchymal stem cell line.""
TRUTH CHECK: The value is factually correct as the source cells for the EVs analyzed by mass spectrometry are mesenchymal stem cells.
COMPLETENESS CHECK: The full set contains the only relevant cell type for the MS sample described in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","Biological","disease","normal","normal","high","False","","True","True","False","False","True","inferred","TYPE CHECK: The candidate value ""normal"" is a valid category for the disease field.
SOURCE CHECK: The MS experiment analyzed extracellular vesicles (EVs) derived from the ASC52telo cell line; this is a research cell line used to study TSG-6 activation, not a disease-model study.
TRUTH CHECK: Since the study is not comparing a disease state against a healthy state for the MS samples, the safe default ""normal"" is applicable.
COMPLETENESS CHECK: The full set contains only this value, which correctly represents the baseline state of the experimental system.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: yes
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","Biological","organ","adipose","adipose","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value ""adipose"" refers to a tissue/organ of origin, which matches the field definition.
SOURCE CHECK: The paper states that the MS samples were derived from ""ASC52telo cells, an hTERT immortalized human adipose derived mesenchymal stem cell line"".
TRUTH CHECK: The value is factually correct as the cells used for the proteomics experiment are explicitly described as adipose-derived.
COMPLETENESS CHECK: The full set contains the single correct tissue origin for the cell line used in the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","Biological","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper explicitly mentions ""human MSC line"" and ""human intervertebral disc (IVD) cells,"" and the MS analysis used the ""human UniProt database.""
TRUTH CHECK: The source material for the proteomics experiment (EVs derived from ASC52telo cells) is human.
COMPLETENESS CHECK: The full set contains the only species involved in the MS experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","ExperimentalDesign","factor_value","TSG-6 activated vs control","TSG-6 activated vs control","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value describes an experimental contrast between two groups, which is a valid format for a factor_value.
SOURCE CHECK: The paper explicitly describes the proteomics analysis of ""TSG-6 activated EVs vs control EVs"" (Abstract) and ""EV pellets from WT, NTC and TSG-6 MSCs"" (Methods).
TRUTH CHECK: The value accurately reflects the primary experimental comparison performed in the mass spectrometry experiment.
COMPLETENESS CHECK: The full set contains this single contrast, which captures the core experimental design of the proteomics study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","ExperimentalDesign","fractions","1","1","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the number of fractions.
SOURCE CHECK: The paper describes the sample preparation (S-Trap digestion) and LC-MS/MS analysis but does not mention any offline fractionation step (e.g., high-pH RP or SAX) before the peptides were loaded onto the trap column.
TRUTH CHECK: Since no fractionation is described, the safe default of ""1"" is correct.
COMPLETENESS CHECK: The full set contains only this value, which accurately reflects the lack of fractionation described in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","ExperimentalDesign","replicates","3","3","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which matches the definition for the number of biological replicates.
SOURCE CHECK: The paper explicitly states ""(n = 3)"" in the ""Mass Spectrometric Analysis of EVs"" section when describing the collection of EV pellets from WT, NTC, and TSG-6 MSCs.
TRUTH CHECK: The value ""3"" is factually correct as stated in the text for the proteomics experiment.
COMPLETENESS CHECK: The full set contains the single correct value mentioned for the MS samples.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","Other","collision_energy","25%","25%","high","False","","True","True","False","False","False","correct_explicit","TYPE CHECK: The candidate value is a percentage, which is a standard representation for normalized collision energy.
SOURCE CHECK: The value is explicitly stated in the ""Mass Spectrometric Analysis of EVs"" section: ""HCD collision energy was maintained at 25%"".
TRUTH CHECK: The value matches the text exactly.
COMPLETENESS CHECK: This is the only collision energy value mentioned in the paper, so the set is complete.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD060381","hamlet_harmonized","inference","Other","developmental_stage","adult","adult","high","False","","True","True","False","False","True","inferred","TYPE CHECK: The candidate value ""adult"" is a valid developmental stage.
SOURCE CHECK: The paper describes ""patients undergoing spinal surgery"" for the IVD cells, and the MSCs are from an immortalized human cell line; ""adult"" is reasonably inferable from the context of patients undergoing spinal surgery for disc herniation or DDD.
TRUTH CHECK: The value is factually correct as the subjects are patients with degenerative disc disease.
COMPLETENESS CHECK: The full set contains only this value, which is sufficient for the described samples.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
INFERENCE: yes
VERDICT: high
CORRECTED_VALUE: NONE",""
