sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state	source records
1	PXD063163-Sample-1	source_name	source name	PXD063163-Sample-1	derived								legacy_derivation	derived	[]
1	PXD063163-Sample-1	organism	characteristics[organism]	Homo sapiens	biological_agent	We identified 24 proteins in KYSE150 and KYSE30 cells that specifically bind to tRF-24, compared to the antisense control (Fig. 3A, Supplementary Table 7).	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": ""Homo sapiens"", ""metadata"": {""source_field"": ""species""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""Homo sapiens""}]"
1	PXD063163-Sample-1	organism_part	characteristics[organism part]	esophagus	biological_agent	We identified 24 proteins in KYSE150 and KYSE30 cells that specifically bind to tRF-24, compared to the antisense control (Fig. 3A, Supplementary Table 7).	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""tissue""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""esophagus""}]"
1	PXD063163-Sample-1	disease	characteristics[disease]	esophageal squamous cell carcinoma	biological_agent	We identified 24 proteins in KYSE150 and KYSE30 cells that specifically bind to tRF-24, compared to the antisense control (Fig. 3A, Supplementary Table 7).	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""disease_state""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""esophageal squamous cell carcinoma""}]"
1	PXD063163-Sample-1	cell_type	characteristics[cell type]	epithelial cell	biological_agent	We identified 24 proteins in KYSE150 and KYSE30 cells that specifically bind to tRF-24, compared to the antisense control (Fig. 3A, Supplementary Table 7).	LLM_ONLY	0.5					source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_type""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""epithelial cell""}]"
1	PXD063163-Sample-1	cell_line	characteristics[cell line]	KYSE150, KYSE30, 293 T	biological_agent	We identified 24 proteins in KYSE150 and KYSE30 cells that specifically bind to tRF-24, compared to the antisense control (Fig. 3A, Supplementary Table 7).	LLM_ONLY	0.5	medium	False	False	KYSE150, KYSE30, 293 T	source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_line""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""KYSE150""}]"
1	PXD063163-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived	[]
1	PXD063163-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived	[]
1	PXD063163-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_path"": ""runAssessor.files.PXD063163/3.mzML.spectra_stats.acquisition_type""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""DDA""}]"
1	PXD063163-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""label-free""}]"
1	PXD063163-Sample-1	instrument	comment[instrument]	NT=Q Exactive;AC=MS:1001911	runassessor				high	False	False		source_precedence:runassessor	derived	"[{""cv_accession"": ""MS:1001911"", ""cv_name"": ""Q Exactive"", ""metadata"": {""source_path"": ""runAssessor.files.PXD063163/3.mzML.instrument_model.name""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""Q Exactive""}, {""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""Q Exactive""}]"
1	PXD063163-Sample-1	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived	[]
