"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD012755","BiologicalAgent","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","TYPE CHECK:        The candidate value ""Homo sapiens"" is a scientific name for a species, which matches the field definition.
SOURCE CHECK:      The paper explicitly mentions ""human ASD vs. control brain"" and the use of the ""human UniProt database"".
TRUTH CHECK:       The study uses human brain samples, making ""Homo sapiens"" factually correct.
COMPLETENESS CHECK: The full set contains the only species used in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD012755","BiologicalAgent","organ","brain","brain","medium","False","","True","False","False","TYPE CHECK:        The candidate value ""brain"" is a valid organ/tissue type.
SOURCE CHECK:      The paper explicitly mentions ""human ASD vs. control brain"" and ""brain samples"" throughout the text.
TRUTH CHECK:       The samples are indeed derived from the brain.
COMPLETENESS CHECK: The paper specifies two particular regions: ""Brodmann area 19 (BA19) [occipital cortex]"" and ""posterior inferior cerebellum (CB)"". While ""brain"" is correct, the full set of extracted values should ideally include these specific regions to be exhaustive.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""brain"", ""Brodmann area 19"", ""occipital cortex"", ""posterior inferior cerebellum""]",""
"PXD012755","BiologicalAgent","disease","Autism Spectrum Disorder, normal","Autism Spectrum Disorder, normal","high","False","","True","True","False","TYPE CHECK:        The candidate value contains disease states (""Autism Spectrum Disorder"") and a control state (""normal""), which fits the field definition.
SOURCE CHECK:      The paper explicitly mentions ""Autism Spectrum Disorder (ASD)"" and ""matched controls"".
TRUTH CHECK:       The study compares ASD cases against control subjects, making both values factually correct.
COMPLETENESS CHECK: The full set captures both the disease group and the control group described in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD012755","BiologicalAgent","material_type","tissue","tissue","high","False","","True","True","False","TYPE CHECK:        The candidate value ""tissue"" is a valid category for the material_type field.
SOURCE CHECK:      The paper explicitly mentions ""Brain samples"" and ""cerebellar (CB) tissue"" and ""BA19 (occipital) cortex"".
TRUTH CHECK:       The experiment used human brain tissue from ASD cases and controls.
COMPLETENESS CHECK: The full set of extracted values (""tissue"") accurately and exhaustively describes the material used.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD012755","TechnicalAgent","acquisition_method","SRM","SRM","medium","False","","True","False","False","TYPE CHECK:        The candidate value ""SRM"" (Selected Reaction Monitoring) is a valid MS acquisition scheme.
SOURCE CHECK:      The paper explicitly mentions ""Selective reaction monitoring (SRM)"" and ""targeted quantitative MS analysis"" in the results and methods sections.
TRUTH CHECK:       The value is factually correct as the study used SRM for the validation phase of the experiment.
COMPLETENESS CHECK: The full set of extracted values is incomplete because the primary global proteomic analysis used ""label-free HPLC-tandem mass spectrometry"" (which, given the use of Mascot and peak alignment, is a DDA-based approach), and the SRM was only for validation. However, ""SRM"" itself is a correct acquisition method used in the study.

TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""DDA"", ""SRM""]","DDA, SRM"
"PXD012755","TechnicalAgent","cleavage_agent","LysC, trypsin","LysC, trypsin","high","False","","True","True","False","TYPE CHECK:        The candidate value lists proteases used for protein digestion, which matches the field definition.
SOURCE CHECK:      The text explicitly states ""digested with LysC for 1 hour and trypsin overnight at 37 °C.""
TRUTH CHECK:       The value is factually correct based on the methods section.
COMPLETENESS CHECK: The full set of extracted values covers both proteases mentioned in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD012755","TechnicalAgent","instrument","Orbitrap Elite","","low","False","","False","False","True","TYPE CHECK:        The candidate value is a mass spectrometer model, which matches the required category.
SOURCE CHECK:      The text mentions ""HPLC-tandem mass spectrometry"" and ""Reverse phase LC-MS/MS"", but it does not mention the ""Orbitrap Elite"" or any specific mass spectrometer make and model.
TRUTH CHECK:       The value is not supported by the provided text.
COMPLETENESS CHECK: The full set contains a value that is not present in the text.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      yes
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD012755","TechnicalAgent","label","label-free","label-free","high","False","","True","True","False","TYPE CHECK:        The candidate value ""label-free"" is a valid category for the label field.
SOURCE CHECK:      The paper explicitly mentions ""label-free HPLC-tandem mass spectrometry"" in the abstract and ""global, label-free proteomic analysis"" in the results and methods.
TRUTH CHECK:       The value is factually correct as the study used a label-free approach for its global proteomic analysis.
COMPLETENESS CHECK: The full set of extracted values consists of only ""label-free"", which exhaustively describes the labeling method used for the primary experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD012755","ExperimentalDesignAgent","replicates","31","31","low","False","","False","False","False","TYPE CHECK:        The candidate value is a numeric count, which is the correct category for the replicates field.
SOURCE CHECK:      The paper mentions 9 ASD and 9 control subjects for CB (18 total) and 7 ASD and 6 control subjects for BA19 (13 total). 18 + 13 = 31.
TRUTH CHECK:       The value 31 represents the total number of biological samples/subjects across both brain regions used in the study.
COMPLETENESS CHECK: The full set contains the total count of biological replicates used across the experimental groups.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD012755","ExperimentalDesignAgent","experimental_design","ASD vs control comparison in BA19 and CB brain regions","ASD vs control comparison in BA19 and CB brain regions","high","False","","True","True","False","TYPE CHECK:        The candidate value describes the study design (comparing two groups across regions), which fits the definition.
SOURCE CHECK:      The paper explicitly states the goal was a ""global analysis of the proteomes of human ASD vs. control brain"" in ""two brain regions, Brodmann area 19 (BA19) and posterior inferior cerebellum (CB)"".
TRUTH CHECK:       The value accurately reflects the experimental setup described in the text.
COMPLETENESS CHECK: The full set captures the primary comparison (ASD vs control) and the spatial variables (BA19 and CB).
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
